name,address,distance,distance_type,rating,capaciity,area,price
"Villa Adelia, Sauna, 4 star standard room, TV and balcony","My Khe Beach, Danang",3.2,km,7,2 adult,280mı,"3,100,000"
Sun Grow Ocean Villas,"Non Nuoc Beach, Danang",12.3,km,null,2 adult,620mı,"17,500,000"
(201)*Lovely balcony*Walking street*400m to beach,"Bac My An Beach, Danang",3.7,km,null,2 adult,null,"450,000"
Two Bedrooms Apartment with Sea View,"Non Nuoc Beach, Danang",9.6,km,9,2 adult,90mı,"2,500,000"
Bee Penthouse Seaview,"My Khe Beach, Danang",3.4,km,null,2 adult,60mı,"1,800,000"
Sun Grow Villas,"Bac My An Beach, Danang",4.6,km,null,2 adult,620mı,"15,215,000"
Stunning Beachfront 2bdr Condo Across My Khe Beach,"My Khe Beach, Danang",2.7,km,null,2 adult,null,"2,219,971"
Danaciti By Dabi Hotel,"My Khe Beach, Danang",2.5,km,8,2 adult,null,"1,400,000"
Tashi Boutique Hotel & Apartment,"My Khe Beach, Danang",2.4,km,9.2,2 adult,40mı,"1,881,475"
White Villar ?a? N??ng,"My Khe Beach, Danang",3.4,km,7.9,2 adult,70mı,"2,550,000"
Abogo Villa Sea View Spa Da Nang,"Bac My An Beach, Danang",5,km,null,2 adult,515mı,"15,144,197"
Excellent Ruby Villa near Han river,"Non Nuoc Beach, Danang",10,km,10,2 adult,220mı,"8,500,000"
Gold Moon Pool Villas *** Santorini Style ***,Danang,3.2,km,null,2 adult,600mı,"8,280,000"
HH Residence - Serviced Apartment,"My Khe Beach, Danang",3.1,km,9.3,2 adult,44mı,"1,032,750"
Entire house 6BR - 5' drive MY KHE beach,"Da Nang City Center, Danang",1.3,km,null,2 adult,20mı,"4,455,000"
Da Nang Beach Front Villa at Ocean Resort,"Non Nuoc Beach, Danang",8.2,km,null,2 adult,000mı,"26,000,000"
The Ocean Estates By Abogo,"Non Nuoc Beach, Danang",11.8,km,9.7,2 adult,515mı,"13,940,630"
Carol House Beach ?… N?ng,"My Khe Beach, Danang",3.3,km,8.7,2 adult,400mı,"5,850,000"
Sunshine Apartment in 5* resort,"Non Nuoc Beach, Danang",12.4,km,5,2 adult,54mı,"1,600,370"
"My Khe beach , An Thuong Street , 5 Bedroom ,Free parking, Cool","My Khe Beach, Danang",3.2,km,null,2 adult,270mı,"2,070,000"
Superior Apartment Beach Resort,"Non Nuoc Beach, Danang",12.4,km,10,2 adult,80mı,"3,135,000"
APT SEA VIEW MY KHE BEACH Da NANG 2BR,"My Khe Beach, Danang",3.4,km,null,2 adult,null,"1,221,472"
The Ocean Apartment IDCWH A409,"Non Nuoc Beach, Danang",12.4,km,null,2 adult,70mı,"1,186,788"
Resort Villa Beach Private City Da Nang,"Bac My An Beach, Danang",5,km,null,2 adult,615mı,"9,818,182"
Lam Ocean View villa Da nang,"Non Nuoc Beach, Danang",11.7,km,7,2 adult,900mı,"9,000,000"
Phuong Tran Apartment and Hotel,"Da Nang City Center, Danang",300,m,8.7,2 adult,32mı,"518,760"
LA MAISON DE ANH,"My Khe Beach, Danang",3.5,km,1,2 adult,85mı,"2,000,000"
POOL sea view - 2A - Blue Sea Apart - near beach,"My Khe Beach, Danang",2.5,km,null,2 adult,null,"500,000"
Mari Villa ?… N?ng,"Bac My An Beach, Danang",4.3,km,null,2 adult,400mı,"10,449,000"
Carol Homestay & Apartment Da Nang 3,"Han River, Danang",1.4,km,8.8,2 adult,30mı,"741,000"
K73 De HOUSE,"My Khe Beach, Danang",2.6,km,7.8,2 adult,null,"315,000"
(601)Big balcony*At walking street near the beach*,"Bac My An Beach, Danang",3.7,km,null,2 adult,null,"336,600"
Ng?c B¡ch Hotel&Apartment,"My Khe Beach, Danang",2.6,km,null,2 adult,40mı,"567,000"
The Ocean Apartment IDCWH B602,Danang,12.4,km,8.2,2 adult,85mı,"1,748,000"
Casa de Tan 2 - Bi?t th? sang tr?ng t?i ?… N?ng,"Da Nang Bay, Danang",1,km,8.5,2 adult,270mı,"5,130,000"
Tarasa Hotel,"Da Nang Bay, Danang",1,km,7.3,2 adult,null,"900,000"
"?… N?ng Furama (4 bedroom, Garden or Sea view)","Bac My An Beach, Danang",5.7,km,null,2 adult,400mı,"22,000,000"
Dory Sea View Homestay ?a? N??ng,"My Khe Beach, Danang",3.6,km,null,2 adult,240mı,"1,184,625"
Ocean Apartment in Beach Resort,"Non Nuoc Beach, Danang",12.4,km,null,2 adult,90mı,"4,570,110"
Enigma Villa - Bi?t th? ven s“ng khu ?“ th? FPT,Danang,11.6,km,null,2 adult,null,"599,000"
HMN Hotel and Apartment Da Nang,"My Khe Beach, Danang",2,km,7.5,2 adult,50mı,"1,661,750"
Vietstork Villa Fu-ra-ma Pool Private,"Bac My An Beach, Danang",4.8,km,null,2 adult,550mı,"10,133,100"
POOL Seaview 5B - Apartment Near beach-Quiet place,"My Khe Beach, Danang",2.5,km,null,2 adult,null,"550,000"
Luxury Apartment,"Non Nuoc Beach, Danang",12.4,km,9,2 adult,90mı,"2,595,558"
AVilla Mountain,"Tho Quang Beach, Danang",5.9,km,10,2 adult,360mı,"10,000,000"
Chau An Villa 5 bedrooms at Ngu Hanh Son,"Marble Mountain, Danang",4.7,km,null,2 adult,200mı,"3,310,750"
M?a House,"My Khe Beach, Danang",2.8,km,null,2 adult,100mı,"2,700,000"
111 Boutique Apartment,"My Khe Beach, Danang",3,km,9.7,2 adult,35mı,"400,000"
178 Nguy?n V?n Tho?i - Danang - APARTMENTS,"My Khe Beach, Danang",3.1,km,null,2 adult,null,"585,000"
Luxury Private Pool Villas in 5-Star Beach Resort & Near Downtown,"Bac My An Beach, Danang",4.9,km,10,2 adult,350mı,"8,500,000"
Bong Mai Motel,"My Khe Beach, Danang",2.5,km,7.9,2 adult,null,"227,588"
La Rose Villa-3BR Free Pick Up,"Non Nuoc Beach, Danang",12.3,km,null,2 adult,700mı,"8,000,000"
Song Cat Villa 2,"Marble Mountain, Danang",5.7,km,null,2 adult,250mı,"4,968,000"
Ocean View Luxury Suites,"My Khe Beach, Danang",3,km,null,2 adult,null,"2,500,000"
Minimalist Sea View Apartment,"Tho Quang Beach, Danang",4.2,km,null,2 adult,null,"1,080,000"
Luxury Ocean Villa 3 bedrooms close to the Beach,"Non Nuoc Beach, Danang",10,km,6.8,2 adult,300mı,"7,000,000"
One Bedroom Apartment with Sea View,"Non Nuoc Beach, Danang",9,km,9,2 adult,60mı,"1,600,000"
The Five Villa 5 Bedrooms Beachfront - K2,"Non Nuoc Beach, Danang",12,km,null,2 adult,000mı,"28,000,000"
The Ocean Apartment IDCWH B302,Danang,12.4,km,7.9,2 adult,85mı,"1,496,250"
Da Nang Beach Resort By Danatrip,"Non Nuoc Beach, Danang",11.7,km,null,2 adult,000mı,"16,380,000"
Sunny Beach Villa,"Non Nuoc Beach, Danang",12.3,km,null,2 adult,700mı,"6,500,000"
Blooming Tower- ?… N?ng,"Han River, Danang",2.5,km,1,2 adult,134mı,"1,152,000"
Large Luxury Villa,"Non Nuoc Beach, Danang",12.3,km,null,2 adult,200mı,"11,000,000"
Central Beach Inn,"Bac My An Beach, Danang",3.7,km,8.4,2 adult,null,"600,000"
Adelia's Home,"My Khe Beach, Danang",3.2,km,null,2 adult,70mı,"4,000,000"
Emily Hotel and Apartment Da Nang,"Bac My An Beach, Danang",3.8,km,null,2 adult,50mı,"1,375,000"
Sanny Villas,Danang,3.2,km,8.7,2 adult,300mı,"4,000,000"
Gorgeous Villa with 15 rooms - 5min to beach- Rooftop Pool,"My Khe Beach, Danang",2.4,km,null,2 adult,200mı,"10,200,000"
AN 2 Apartment,"My Khe Beach, Danang",3.4,km,null,2 adult,65mı,"1,800,000"
TONY ESTATES Danang Beach Luxury Apartments,"My Khe Beach, Danang",2.3,km,9.5,2 adult,65mı,"665,667"
Emblem Sea 3 bedroom villas,"Non Nuoc Beach, Danang",12.3,km,null,2 adult,40mı,"6,500,000"
Apartment Seaview Da Nang,"My Khe Beach, Danang",3.4,km,8.7,2 adult,50mı,"799,200"
M?a's house TL-private swimming pool,"My Khe Beach, Danang",3,km,9,2 adult,130mı,"3,800,000"
Green House,"My Khe Beach, Danang",3.8,km,4.5,2 adult,55mı,"550,800"
Huy Ng?c Hotel,"My Khe Beach, Danang",3,km,8.4,2 adult,null,"1,300,000"
Trissy house A2,"My Khe Beach, Danang",3,km,null,2 adult,50mı,"450,000"
POOL Seaview 3B Apartment - BATHTUB -BALCONY,"My Khe Beach, Danang",2.5,km,null,2 adult,null,"500,000"
Dang's House With White Sand View,"My Khe Beach, Danang",3.4,km,null,2 adult,67mı,"1,200,000"
MINH HOANG HY HOTEL,"My Khe Beach, Danang",2.6,km,8.4,2 adult,null,"550,000"
Hoang Lan Villa - Suoi Luong - Hai Van Park,Danang,15.2,km,10,2 adult,null,"792,000"
Luxury Beachfront Villas - Private Beach & Resort Access,"Non Nuoc Beach, Danang",12.3,km,null,2 adult,000mı,"34,250,000"
Evergreen Hotel & Apartment,Danang,3.3,km,null,2 adult,45mı,"480,000"
Ocean Villa Da Nang- ABogo,"Non Nuoc Beach, Danang",12.3,km,10,2 adult,312mı,"5,687,500"
Sunrise Pool Villa-3BR Free Pick Up,"Bac My An Beach, Danang",4.9,km,10,2 adult,450mı,"6,000,000"
C?n h? bi?n ?… N?ng 2,"My Khe Beach, Danang",3.4,km,7.3,2 adult,70mı,"855,000"
Sunrise House,"My Khe Beach, Danang",1.4,km,9.5,2 adult,55mı,"405,000"
Indochine Townhouse - Beach neighborhood,"My Khe Beach, Danang",2.8,km,9.1,2 adult,140mı,"2,065,500"
