name,address,distance,distance_type,rating,capaciity,area,price
SH6.03 Vinhomes Marina studio 25 m2,Hai Phong,4,km,null,1 adult,null,"585,000"
Homestay Ms. Hoa,Hai Phong,0.5,km,null,1 adult,null,"300,000"
MADELISE HOTEL&APARTMENT,Hai Phong,1.9,km,null,1 adult,50m˝,"1,600,000"
Riverside Apartment,Hai Phong,3.9,km,1,1 adult,40m˝,"720,000"
Win Win Hotel - Kh†ch S?n H?i Phïng,Hai Phong,6.5,km,8.4,1 adult,null,"450,000"
Homestay Honey Appartment H?i Phïng - HoÖng Huy Grand Tower,Hai Phong,2.5,km,10,1 adult,68m˝,"1,200,000"
L? Th?y Motel,Hai Phong,40.1,km,9,1 adult,null,"650,000"
Hungsen Homestay,Hai Phong,40.2,km,null,1 adult,null,"382,500"
"AnE House SHP Plaza 12 L?ch Tray, H?i Phïng",Hai Phong,0.8,km,10,1 adult,71m˝,"1,275,000"
Flamingos Cat Ba Resort Apartment,Hai Phong,1.4,km,null,1 adult,null,"3,950,000"
L?i ?¢n nh?n nh?ng gç t?t ??p nh?t,Hai Phong,6.7,km,null,1 adult,null,"315,000"
LAD Homestay H?i Phïng - Chung c? ??ng Qu?c Bçnh,Hai Phong,2.2,km,8,1 adult,null,"800,000"
Holiday Hotel,Hai Phong,3.5,km,6.2,1 adult,null,"535,500"
C?n h? The Mitato Residence,Hai Phong,3.6,km,null,1 adult,110m˝,"1,718,768"
Vu Gia Khanh Apartment,Hai Phong,7.1,km,8.8,1 adult,45m˝,"710,000"
Homestay Aesthetic,Hai Phong,3,km,null,1 adult,null,"1,600,000"
S20 Apartment,Hai Phong,3.4,km,9.2,1 adult,20m˝,"477,900"
An homestay - Stay with vietnamese local family,Hai Phong,40.8,km,null,1 adult,null,"524,880"
Khìng t?n t?i,Hai Phong,1.9,km,null,1 adult,null,"900,000"
Vincom,Hai Phong,1.6,km,null,1 adult,null,"100,000,000"
Our Home 3- NhÖ nguyàn c?n 5 phïng ng?,Hai Phong,2.8,km,9,1 adult,null,"2,340,000"
HAPPY HOMESTAY,Hai Phong,0.6,km,9.6,1 adult,20m˝,"617,500"
Ventana house,Hai Phong,300,m,7.7,1 adult,32m˝,"700,000"
Hai Phong Tower,Hai Phong,450,m,8.7,1 adult,50m˝,"1,250,000"
Phuong Anh 3 Hotel,Hai Phong,3.2,km,5.5,1 adult,null,"500,000"
F & F Hotel,Hai Phong,4.7,km,8.2,1 adult,null,"600,000"
Khanh Phong Apartment PG02-20,Hai Phong,1.3,km,8.3,1 adult,25m˝,"541,500"
Hoang Huy Grand Tower,Hai Phong,2.5,km,null,1 adult,60m˝,"1,100,000"
Ray Garden,Hai Phong,2.2,km,4,1 adult,null,"3,600,000"
1986 Cafe & Stay,Hai Phong,0.5,km,null,1 adult,null,"950,000"
Sunflower International Village,Hai Phong,2.7,km,9.7,1 adult,32m˝,"1,850,000"
Flamingo Cat Ba Resort,Hai Phong,41.5,km,8.7,1 adult,null,"3,600,000"
"HHT homestay HoÖng Huy Grand Tower, S? D?u, H?ng BÖngH?i Phïng",Hai Phong,2.5,km,9,1 adult,67m˝,"650,000"
Catba New City Hostel,Hai Phong,41.1,km,null,1 adult,null,"117,000"
Windy Hill Catba Homestay,Hai Phong,38.5,km,8.3,1 adult,25m˝,"760,320"
Tuong Vi Hotel,Hai Phong,3.3,km,null,1 adult,null,"1,450,000"
La ventana modern house,Hai Phong,300,m,5.5,1 adult,10m˝,"500,000"
Wonder Hotel,Hai Phong,3,km,7.8,1 adult,null,"336,960"
catba sky way boat,Hai Phong,39.7,km,null,1 adult,null,"5,103,000"
Lavender Hotel Hai Phong,Hai Phong,3.9,km,7,1 adult,null,"545,000"
Le Thanh Hotel,Hai Phong,9.8,km,null,1 adult,null,"650,000"
Vu Gia Hotel,Hai Phong,3.3,km,1,1 adult,null,"400,000"
Grand Hill hotel & apartment,Hai Phong,3.1,km,6.5,1 adult,null,"885,735"
Lucky Homestay,Hai Phong,2.6,km,null,1 adult,null,"512,000"
Moon Homestay,Hai Phong,0.6,km,8.5,1 adult,null,"930,600"
The Flamboyant #StayWork Vinhomes Marina,Hai Phong,4,km,8.2,1 adult,30m˝,"623,333"
MV Hotel,Hai Phong,3.7,km,9.1,1 adult,null,"400,000"
V A Motel,Hai Phong,3.9,km,7.2,1 adult,null,"250,000"
Hoa Phuong Hotel,Hai Phong,2.2,km,8.5,1 adult,null,"612,000"
Chu?i c?n h? Merci Apartment & Homestay - Vinhomes Imperia Hai Phong,Hai Phong,2.2,km,8.4,1 adult,null,"350,000"
HK apartment & hotel in haiphong,Hai Phong,3.8,km,8.6,1 adult,35m˝,"500,000"
LAD Homestay H?i Phïng - HoÖng V?n Th?,Hai Phong,400,m,9.3,1 adult,null,"500,000"
Trang Thanh Luxury Apartment,Hai Phong,1.2,km,9.1,1 adult,60m˝,"754,110"
Mai Ve Motel,Hai Phong,5.9,km,7,1 adult,null,"250,000"
MOMIZI Hotel HAI PHONG,Hai Phong,3.6,km,7.9,1 adult,null,"1,215,000"
Kiara's Home,Hai Phong,5.2,km,8.9,1 adult,null,"495,000"
Chu?i c?n h? Merci Apartment & Homestay - HH Riverside Hai Phong Central,Hai Phong,1.6,km,9.2,1 adult,32m˝,"500,000"
Roygent Parks Hai Phong,Hai Phong,3.6,km,8,1 adult,77m˝,"3,670,321"
2702 Apartment,Hai Phong,2.5,km,10,1 adult,60m˝,"960,000"
HOTEL TE AMO,Hai Phong,3.1,km,8.8,1 adult,null,"550,000"
Victory Apartment,Hai Phong,1.4,km,8.9,1 adult,50m˝,"1,445,850"
META HOME Vinhomes Marina - Apartment&Homestay,Hai Phong,4.1,km,null,1 adult,85m˝,"1,150,000"
Three bedrooms Serviced Apartment (1206SHP) - 12 Lach Tray street,Hai Phong,0.7,km,9.5,1 adult,null,"1,260,000"
Merry House HoÖng Huy Riverside,Hai Phong,1.5,km,9.4,1 adult,33m˝,"510,300"
Minh Anh Hotel & Apartment,Hai Phong,4.8,km,8,1 adult,null,"494,000"
Lilyhomes Apartment T3,Hai Phong,4.2,km,null,1 adult,50m˝,"1,200,000"
Hoang Hai Hotel,Hai Phong,300,m,7.8,1 adult,null,"837,250"
Tay Dai Duong Guesthouse,Hai Phong,1.1,km,7.4,1 adult,null,"340,000"
Ngoc Ha Hotel 2,Hai Phong,3.9,km,6.8,1 adult,null,"300,000"
??c TuÉn 2 Motel,Hai Phong,2.9,km,9.4,1 adult,null,"297,000"
Lotus Hotel & Apartment,Hai Phong,2,km,8.3,1 adult,null,"1,050,000"
M?p Homestay,Hai Phong,2.5,km,10,1 adult,null,"800,000"
?çnh V? 3,Hai Phong,3.1,km,7.3,1 adult,null,"380,000"
Manoir Des Arts Hotel,Hai Phong,0.6,km,8.6,1 adult,null,"1,587,600"
The Flamboyant #StayWork Vinhomes Imperia,Hai Phong,2.2,km,9.3,1 adult,25m˝,"1,000,000"
Legend House,Hai Phong,4,km,10,1 adult,30m˝,"990,000"
The One Hotel,Hai Phong,3,km,8.8,1 adult,null,"650,000"
Three bedrooms Apt in SHP plaza 2106 - 12 Lach Tray street,Hai Phong,0.8,km,9,1 adult,null,"1,275,000"
Cat ba Paradise hotel,Hai Phong,40.5,km,7.4,1 adult,null,"1,410,750"
Hotel The Quin,Hai Phong,1.5,km,8,1 adult,null,"432,000"
