hcm,hn,dn,dl,other,distance,rating,capacity,area,price
0,0,0,0,1,5600,5.6,1,null,380000
0,0,0,0,1,2300,8.3,1,null,446500
0,0,0,0,1,5600,1.9,1,30,480000
0,0,0,0,1,3300,7.9,1,90,742500
0,0,0,0,1,9100,10,1,null,550000
0,0,0,0,1,3200,9.2,1,null,397456
0,0,0,0,1,6300,9.6,1,null,1500000
0,0,0,0,1,1300,6.7,1,null,1235000
0,0,0,0,1,1500,6.7,1,null,220000
0,0,0,0,1,700,7.9,1,null,280000
0,0,0,0,1,3800,8.4,1,null,500000
0,0,0,0,1,1600,8.1,1,null,500000
0,0,0,0,1,1700,4.5,1,null,307800
0,0,0,0,1,300,8.9,1,72,877500
0,0,0,0,1,2100,6.2,1,null,330000
0,0,0,0,1,8700,9.1,1,null,180000
0,0,0,0,1,600,8,1,null,450000
0,0,0,0,1,3400,9.7,1,35,526500
0,0,0,0,1,1200,8,1,null,750000
0,0,0,0,1,1400,9.5,1,null,1950000
0,0,0,0,1,700,7.1,1,null,1040000
0,0,0,0,1,1500,6,1,null,550000
0,0,0,0,1,6700,7.5,1,null,600000
0,0,0,0,1,3400,8,1,null,243000
0,0,0,0,1,4000,9,1,null,350000
0,0,0,0,1,700,7.9,1,null,1360800
0,0,0,0,1,1700,8.7,1,null,640000
0,0,0,0,1,400,9.1,1,null,315000
0,0,0,0,1,3000,8.3,1,null,315000
0,0,0,0,1,2000,6.8,1,null,450000
0,0,0,0,1,200,7.7,1,null,1311000
0,0,0,0,1,500,9.8,1,150,2070000
0,0,0,0,1,300,8.7,1,null,240000
0,0,0,0,1,1300,8.5,1,null,522000
0,0,0,0,1,1300,9.6,1,null,232560
0,0,0,0,1,5600,9,1,null,400000
0,0,0,0,1,400,7.7,1,null,243000
0,0,0,0,1,1300,9.1,1,null,945000
0,0,0,0,1,1300,8.6,1,null,420750
0,0,0,0,1,500,7.7,1,null,510300
0,0,0,0,1,600,6.2,1,null,774217
0,0,0,0,1,3000,7.2,1,null,400000
0,0,0,0,1,400,7.9,1,null,450000
0,0,0,0,1,2800,9,1,null,590000
0,0,0,0,1,2400,8.3,1,null,290000
0,0,0,0,1,3700,9.3,1,null,528000
0,0,0,0,1,700,8.2,1,30,500000
0,0,0,0,1,1500,8.1,1,null,330000
0,0,0,0,1,6100,10,1,20,675675
0,0,0,0,1,300,8.2,1,null,270000
0,0,0,0,1,11200,9.5,1,null,792000
0,0,0,0,1,900,7.7,1,null,1450000
0,0,0,0,1,350,10,1,null,960000
0,0,0,0,1,2700,8.7,1,null,280000
0,0,0,0,1,1400,9.3,1,null,5648412
0,0,0,0,1,1600,9.5,1,null,504000
0,0,0,0,1,1400,7.2,1,null,350000
0,0,0,0,1,9700,7.6,1,null,599000
0,0,0,0,1,2700,8.7,1,null,400000
0,0,0,0,1,1800,8.3,1,null,320000
0,0,0,0,1,1300,8.2,1,null,418400
0,0,0,0,1,13200,8.8,1,null,1641600
0,0,0,0,1,200,7.9,1,null,553500
0,0,0,0,1,1700,8.3,1,null,499140
0,0,0,0,1,1400,5.9,1,null,260000
0,0,0,0,1,600,6,1,null,313110
0,0,0,0,1,6000,7.2,1,null,252000
0,0,0,0,1,1500,8.7,1,null,500000
0,0,0,0,1,200,7.7,1,null,300000
0,0,0,0,1,1700,8.3,1,null,500000
0,0,0,0,1,1000,6.4,1,null,387585
0,0,0,0,1,1800,9.7,1,null,350000
0,0,0,0,1,500,6.6,1,null,500000
0,0,0,0,1,10000,9,1,null,1305000
0,0,0,0,1,1300,8,1,null,621000
0,0,0,0,1,2200,7.6,1,null,1066188
0,0,0,0,1,500,7.2,1,null,320000
0,0,0,0,1,5400,8.1,1,null,500000
0,0,0,0,1,2600,6.2,1,null,260000
0,0,0,0,1,400,6.9,1,null,200000
0,0,0,0,1,450,7.6,1,null,574000
0,0,0,0,1,1600,9.1,1,null,358020
0,0,0,0,1,600,9.2,1,null,990000
0,0,0,0,1,50,7.8,1,null,495000
0,0,0,0,1,3200,9.2,1,null,2700000
0,0,0,0,1,1300,8.3,1,null,658800
0,0,0,0,1,3000,7.8,1,null,250000
0,0,0,0,1,1300,8.3,1,null,490000
0,0,0,0,1,3400,8,1,null,375000
0,0,0,0,1,450,5.9,1,null,600000
0,0,0,0,1,1400,7.3,1,null,320000
0,0,0,0,1,2800,7.3,1,null,216000
0,0,0,0,1,1300,8.6,1,null,364500
0,0,0,0,1,1300,8.9,1,null,2990400
0,0,0,0,1,11600,8.5,1,null,1158050
0,0,0,0,1,10100,9.9,1,null,810000
0,0,0,0,1,1200,9.6,1,null,372600
0,0,0,0,1,3700,8.5,1,null,800000
0,0,0,0,1,400,8.2,1,null,497250
0,0,0,0,1,1300,8,1,null,1827000
0,0,0,0,1,400,9.3,1,null,300000
0,0,0,0,1,300,8.4,1,null,216000
0,0,0,0,1,9000,9.4,1,null,1200000
0,0,0,0,1,500,6.7,1,null,117000
0,0,0,0,1,2000,8.8,1,null,280000
0,0,0,0,1,1200,7.8,1,null,250000
0,0,0,0,1,1500,9.5,1,null,200000
0,0,0,0,1,300,8.5,1,null,350000
0,0,0,0,1,900,8.6,1,null,1251275
0,0,0,0,1,8700,8.6,1,null,800000
0,0,0,0,1,8700,8.6,1,23,700000
0,0,0,0,1,600,8.2,1,null,470000
0,0,0,0,1,1200,8.7,1,null,335837
0,0,0,0,1,2800,8.8,1,null,350000
0,0,0,0,1,3700,8.9,1,null,209000
0,0,0,0,1,3000,8.5,1,null,550000
0,0,0,0,1,600,8.6,1,null,243000
0,0,0,0,1,600,7.9,1,null,180000
0,0,0,0,1,1400,5.7,1,null,400000
0,0,0,0,1,1400,9,1,null,261990
0,0,0,0,1,7100,9.4,1,55,921000
0,0,0,0,1,5500,2.7,1,null,200000
0,0,0,0,1,1900,6,1,null,313110
0,0,0,0,1,900,9.6,1,null,486000
0,0,0,0,1,800,8.4,1,null,1134276
0,0,0,0,1,600,5.5,1,null,540000
0,0,0,0,1,1300,9,1,null,2419999
0,0,0,0,1,350,8.3,1,18,730000
0,0,0,0,1,450,8.2,1,null,400000
0,0,0,0,1,2500,5.5,1,null,342000
0,0,0,0,1,450,8.2,1,null,177824
0,0,0,0,1,11900,1.9,1,null,336000
0,0,0,0,1,500,9.5,1,null,315000
0,0,0,0,1,6900,8.2,1,null,2236000
0,0,0,0,1,400,8.3,1,null,429000
0,0,0,0,1,700,7.7,1,null,990000
0,0,0,0,1,1400,8.2,1,null,279000
0,0,0,0,1,11800,9.1,1,null,680000
0,0,0,0,1,600,9.5,1,null,490000
0,0,0,0,1,9000,6.5,1,null,800000
0,0,0,0,1,20700,9.7,1,null,1044050
0,0,0,0,1,5600,9.2,2,null,380000
0,0,0,0,1,1200,7,2,null,800000
0,0,0,0,1,5600,6.2,2,30,510000
0,0,0,0,1,1400,7.8,2,null,350000
0,0,0,0,1,9100,10,2,null,990000
0,0,0,0,1,200,8.1,2,null,223250
0,0,0,0,1,3000,7.2,2,null,400000
