name,address,distance,distance_type,rating,capaciity,area,price
HO GIA AN Home - Queen Room,Can Tho,5.6,km,null,2 adult,null,"380,000"
Ni's Homestay,Can Tho,1.2,km,7,2 adult,null,"800,000"
HO GIA AN Home - Dorm Room,Can Tho,5.6,km,null,2 adult,30mý,"510,000"
Huyen Tran Hotel,Can Tho,1.4,km,7.8,2 adult,null,"350,000"
Homestay Chez Moi,Can Tho,9.1,km,10,2 adult,null,"990,000"
Homestay 63,Can Tho,200,m,8.1,2 adult,null,"223,250"
Moony hostel,Can Tho,3,km,7.2,2 adult,null,"400,000"
Motel Ph?m L?y,Can Tho,0.7,km,7.9,2 adult,null,"280,000"
LION 7 HOTEL,Can Tho,1.9,km,7.6,2 adult,null,"350,000"
SUNNY HOSTEL,Can Tho,300,m,8.2,2 adult,null,"270,000"
Kh ch s?n TNK,Can Tho,2.1,km,6.2,2 adult,null,"330,000"
T-House,Can Tho,1.4,km,9.5,2 adult,null,"1,950,000"
Tulip Hotel,Can Tho,3.8,km,8.4,2 adult,null,"500,000"
HOTEL B? Cƒu,Can Tho,1.5,km,6.7,2 adult,null,"220,000"
Can Tho Home & Apartment,Can Tho,300,m,8.9,2 adult,72mý,"936,000"
??i Quang Hotel,Can Tho,4,km,9,2 adult,null,"350,000"
Hostel H?nh Ph t 9,Can Tho,8.7,km,9.1,2 adult,null,"180,000"
HOLIDAY 2 HOTEL,Can Tho,1.2,km,8,2 adult,null,"750,000"
Nhu's House 2,Can Tho,3.4,km,9.7,2 adult,35mý,"585,000"
Kim Long Hotel,Can Tho,0.6,km,8,2 adult,null,"450,000"
Phuong Thuy Hotel,Can Tho,1.6,km,8.1,2 adult,null,"500,000"
West Hotel,Can Tho,0.7,km,7.1,2 adult,null,"1,131,000"
HOTEL SAO MAI ??a ch? 22D3 TR?N QUANG KH?I,Can Tho,1.7,km,4.5,2 adult,null,"332,500"
Amour Cantho Enjoy Hotel,Can Tho,3.4,km,8,2 adult,null,"243,000"
Kh ch S?n Ngƒn Long C?n Th?,Can Tho,1.5,km,6,2 adult,null,"550,000"
Homestay Mekong Can Tho,Can Tho,6.7,km,7.5,2 adult,null,"600,000"
PINK Hotel C?n Th?,Can Tho,0.7,km,7.9,2 adult,null,"1,512,000"
Spring Hotel,Can Tho,1.7,km,8.7,2 adult,null,"640,000"
L?I NGUY?N BOUTIQUE HOTEL,Can Tho,1.8,km,8.3,2 adult,null,"320,000"
Minh Minh Nam Hotel,Can Tho,2.8,km,9,2 adult,null,"590,000"
Huy Ho…ng Motel - C?n Th?,Can Tho,400,m,9.1,2 adult,null,"315,000"
Winter Spring Homestay Center,Can Tho,1.3,km,8.5,2 adult,null,"522,000"
Cozrum Homes - Gloaming Homestay,Can Tho,6.1,km,10,2 adult,20mý,"675,675"
Lee Hotel,Can Tho,3,km,8.3,2 adult,null,"315,000"
Ngoc Lam Can Tho Hotel,Can Tho,2,km,6.8,2 adult,null,"450,000"
Winter Spring Hotel Ninh Kieu Quay,Can Tho,0.5,km,7.2,2 adult,null,"493,000"
Maison de L‚a - Homestay & Coffee Can Tho 1,Can Tho,3.7,km,9.3,2 adult,null,"528,000"
??NG NAM HOTEL C?N TH?,Can Tho,1,km,6.4,2 adult,null,"391,500"
RedDoorz Huy Hoang Hotel Ngo Duc Ke,Can Tho,0.6,km,6,2 adult,null,"313,110"
Nhan Tay Hostel,Can Tho,1.3,km,9.6,2 adult,null,"273,600"
NINH KIEU 2 HOTEL,Can Tho,200,m,7.7,2 adult,null,"1,311,000"
CT Morning Hostel,Can Tho,1.3,km,9.1,2 adult,null,"945,000"
Hong Dao 2 Hotel,Can Tho,0.9,km,5.7,2 adult,null,"675,675"
Lavender Hotel,Can Tho,2.4,km,8.3,2 adult,null,"290,000"
C— Lao Xanh Homestay,Can Tho,3.2,km,9.2,2 adult,null,"397,456"
Stay House,Can Tho,300,m,8.7,2 adult,null,"240,000"
MES HOTEL - Ngay B?n Ninh Ki?u,Can Tho,500,m,7.7,2 adult,null,"567,000"
Holiday One Can Tho Hotel,Can Tho,1.3,km,6.7,2 adult,null,"1,235,000"
Hotel Lˆ My,Can Tho,1.5,km,8.1,2 adult,null,"330,000"
Thiˆn ?n Hotel & Apartment,Can Tho,400,m,7.9,2 adult,null,"450,000"
Thiˆn ?n Homestay,Can Tho,400,m,7.7,2 adult,null,"270,000"
Nh… Ngh? Gia Khang,Can Tho,2.6,km,6.2,2 adult,null,"260,000"
FIT Hotel Can Tho,Can Tho,1.7,km,8.3,2 adult,null,"499,140"
Emerald Boutique Stay,Can Tho,50,m,7.8,2 adult,null,"550,000"
