name,address,distance,distance_type,rating,capaciity,area,price
Dream Boutique Hotel,Da Lat,2.9,km,8.2,1 adult,null,"1,884,960"
V??n Treo Villa,Da Lat,1.8,km,10,1 adult,150m˝,"3,385,800"
My house_?Ö L?t,Da Lat,3.4,km,null,1 adult,null,"2,100,000"
Les Flocons Home 3 - ?Ö L?t,Da Lat,1.9,km,null,1 adult,null,"1,425,000"
Dalat DreamStay,Da Lat,0.8,km,null,1 adult,125m˝,"2,500,000"
M.A.P HOME,Da Lat,3,km,5.5,1 adult,56m˝,"2,000,000"
BiM's STAY,Da Lat,1.1,km,null,1 adult,270m˝,"5,000,000"
?Ö L?t Villa 84 H? XuÉn H??ng,Da Lat,4.7,km,9.1,1 adult,400m˝,"3,125,500"
Raanana Nguyàn C?n ?Ö L?t,"Xuan Huong Lake, Da Lat",0.5,km,null,1 adult,40m˝,"2,100,000"
NGUY?N C?N HOMESTAY-ZALO 0387139765,Da Lat,1.7,km,null,1 adult,null,"1,680,000"
Villa Trung Ngh?a 31,"Xuan Huong Lake, Da Lat",2.5,km,1,1 adult,500m˝,"4,495,500"
Bliss House ?Ö L?t,Da Lat,3.2,km,10,1 adult,250m˝,"5,100,000"
NhÖ Rum Rìn,Da Lat,1.4,km,9.4,1 adult,140m˝,"1,296,000"
TÉn Anh House,"Xuan Huong Lake, Da Lat",1.3,km,8,1 adult,300m˝,"1,404,000"
Tuan Vu Coffee Home Da Lat,Da Lat,0.9,km,null,1 adult,null,"20,000,000"
Tan Hai House ?Ö L?t,Da Lat,1.3,km,null,1 adult,null,"1,440,000"
Kh†ch s?n ChÉu Giang 2,"Xuan Huong Lake, Da Lat",300,m,10,1 adult,100m˝,"4,000,000"
D House Dalat,Da Lat,3.3,km,9.1,1 adult,null,"553,824"
Books Home Dalat,Da Lat,2,km,7.3,1 adult,null,"853,943"
LÇmon House,Da Lat,3.4,km,null,1 adult,40m˝,"1,530,000"
Villa Trung Ngh?a 30,Da Lat,4,km,null,1 adult,30m˝,"3,996,000"
NH? C?A G?U,Da Lat,1.7,km,10,1 adult,120m˝,"1,008,000"
B?ch TrÖ Villa,Da Lat,4.3,km,9,1 adult,null,"763,857"
Homestay nguyàn c?n 4pn Gifhouse,Da Lat,1.2,km,null,1 adult,null,"1,333,800"
Golden Hills Villa ?Ö L?t,Da Lat,1.4,km,6,1 adult,280m˝,"1,960,000"
Homestay Green Valley 2PN,Da Lat,12.6,km,null,1 adult,120m˝,"2,800,000"
An Son Lake view apartment- sunset view- Dreamer's Home Da Lat,Da Lat,1.9,km,1,1 adult,null,"792,000"
T£ Anh,Da Lat,1.5,km,9,1 adult,225m˝,"4,500,000"
NhÖ c?a Sun ?Ö L?t,Da Lat,1.8,km,10,1 adult,120m˝,"1,800,000"
Aloha Homestay,Da Lat,1.3,km,9.5,1 adult,87m˝,"2,700,000"
Funny Home,Da Lat,1.2,km,null,1 adult,null,"1,296,000"
Passion Homestay,Da Lat,1.9,km,7.6,1 adult,40m˝,"439,200"
Luna Home,Da Lat,1.3,km,null,1 adult,null,"3,500,000"
Villa Hang Nga 2,Da Lat,2.5,km,null,1 adult,150m˝,"1,600,000"
COSYY HOUSE,Da Lat,0.8,km,null,1 adult,null,"1,999,999"
Jade's House,Da Lat,1.5,km,9.3,1 adult,250m˝,"3,000,000"
Kumi house,Da Lat,1.7,km,null,1 adult,null,"2,000,000"
Villa Trung ngh?a 28,"Xuan Huong Lake, Da Lat",2.9,km,null,1 adult,30m˝,"3,960,000"
? Homestay,Da Lat,1,km,null,1 adult,null,"840,000"
Trung Ngh?a Villa 27,Da Lat,1.6,km,null,1 adult,300m˝,"3,596,400"
V??n Lan Hotel Nguyàn C?n 130m2,Da Lat,2,km,9,1 adult,130m˝,"579,600"
Viet Hoang's House,Da Lat,450,m,null,1 adult,null,"270,000"
DVHome DaLat,Da Lat,1.4,km,null,1 adult,90m˝,"1,732,500"
GOm Homestay- Tranquility House,Da Lat,1.8,km,9.7,1 adult,100m˝,"1,154,250"
Eudora House 1 - Ph?m Ng?c th?ch,Da Lat,0.7,km,null,1 adult,null,"1,392,130"
M? Li?u's House,Da Lat,2.9,km,null,1 adult,null,"3,000,000"
The Vinghouse 1994,Da Lat,350,m,null,1 adult,null,"405,000"
