name,address,distance,distance_type,rating,capaciity,area,price
Two-Bedrooms - POOL SEA VIEW - 6A - BLUE SEA APARTMENT,"My Khe Beach, Danang",2.5,km,10,1 adult,71mı,"1,000,000"
111 Boutique Apartment,"My Khe Beach, Danang",3,km,9.7,1 adult,35mı,"400,000"
Da Nang Beach Front Villa at Ocean Resort,"Non Nuoc Beach, Danang",8.2,km,null,1 adult,000mı,"26,000,000"
Ocean Apartment in Beach Resort,"Non Nuoc Beach, Danang",12.4,km,null,1 adult,90mı,"4,570,110"
Sunshine Apartment in 5* resort,"Non Nuoc Beach, Danang",12.4,km,5,1 adult,54mı,"1,520,352"
White Villar ?a? N??ng,"My Khe Beach, Danang",3.4,km,7.9,1 adult,70mı,"2,400,000"
Danaciti By Dabi Hotel,"My Khe Beach, Danang",2.5,km,8,1 adult,null,"1,400,000"
Louis Mo Apartment,"My Khe Beach, Danang",3.3,km,9.2,1 adult,75mı,"3,420,000"
Luxury Ocean Villa 3 bedrooms close to the Beach,"Non Nuoc Beach, Danang",10,km,6.8,1 adult,300mı,"7,000,000"
Bee Penthouse Seaview,"My Khe Beach, Danang",3.4,km,null,1 adult,60mı,"1,800,000"
Five Stars 5 Bedrooms And 1 Movie Room Beachfront,"Non Nuoc Beach, Danang",12,km,null,1 adult,000mı,"30,000,000"
Deluxe Sea view flat fully equipped for family,"Non Nuoc Beach, Danang",10,km,null,1 adult,null,"2,250,000"
The Ocean Apartment IDCWH A409,"Non Nuoc Beach, Danang",12.4,km,null,1 adult,70mı,"1,186,788"
Gold Moon Pool Villas *** Santorini Style ***,Danang,3.2,km,null,1 adult,600mı,"8,280,000"
Casa de Tan 2 - Bi?t th? sang tr?ng t?i ?… N?ng,"Da Nang Bay, Danang",1,km,8.5,1 adult,270mı,"5,130,000"
POOL Seaview - 4A - -Blue Sea- Balcony- Bathtub,"My Khe Beach, Danang",2.5,km,null,1 adult,33mı,"550,000"
Cheerful 4 BR home near My Khe Beach& local market,"My Khe Beach, Danang",2.7,km,null,1 adult,130mı,"1,576,080"
Chau An Villa 5 bedrooms at Ngu Hanh Son,"Marble Mountain, Danang",4.7,km,null,1 adult,200mı,"3,310,750"
Song Cat Villa 2,"Marble Mountain, Danang",5.7,km,null,1 adult,250mı,"4,968,000"
Two Bedrooms Apartment with Sea View,"Non Nuoc Beach, Danang",9.6,km,9,1 adult,90mı,"2,500,000"
Ocean Apartment,"Non Nuoc Beach, Danang",12.4,km,6.5,1 adult,72mı,"1,575,773"
"My Khe beach , An Thuong Street , 5 Bedroom ,Free parking, Cool","My Khe Beach, Danang",3.2,km,null,1 adult,270mı,"2,070,000"
One Bedroom Apartment with Sea View,"Non Nuoc Beach, Danang",9,km,9,1 adult,60mı,"1,600,000"
TONY ESTATES Danang Beach Luxury Apartments,"My Khe Beach, Danang",2.3,km,9.5,1 adult,65mı,"645,697"
Adelia's Home,"My Khe Beach, Danang",3.2,km,null,1 adult,70mı,"4,000,000"
M?a House,"My Khe Beach, Danang",2.8,km,null,1 adult,100mı,"2,700,000"
"?… N?ng Furama (4 bedroom, Garden or Sea view)","Bac My An Beach, Danang",5.7,km,null,1 adult,400mı,"22,000,000"
Resort Villa Beach Private City Da Nang,"Bac My An Beach, Danang",5,km,null,1 adult,615mı,"9,818,182"
OCEAN VIEW HOME FOURPOINT BUILDING DA NANG Beach,"My Khe Beach, Danang",3,km,8.3,1 adult,100mı,"2,565,000"
Siro homestay,"Bac My An Beach, Danang",3.5,km,10,1 adult,70mı,"270,000"
Anstay Luxury Apartment Da Nang,"My Khe Beach, Danang",2.5,km,null,1 adult,102mı,"4,165,000"
M?a's house TL-private swimming pool,"My Khe Beach, Danang",3,km,9,1 adult,130mı,"3,800,000"
La Rose Villa-3BR Free Pick Up,"Non Nuoc Beach, Danang",12.3,km,null,1 adult,700mı,"8,000,000"
Carol Homestay & Apartment Da Nang 3,"Han River, Danang",1.4,km,8.8,1 adult,30mı,"741,000"
Resort Villa Da Nang Luxurious,"Bac My An Beach, Danang",4.9,km,null,1 adult,516mı,"11,071,125"
POOL Seaview 3A - Deluxe Apartment BALCONY,"My Khe Beach, Danang",2.5,km,null,1 adult,null,"500,000"
Icity Villa Riverfront Danang,"Da Nang City Center, Danang",4.6,km,9.4,1 adult,400mı,"7,200,000"
Sunny Beach Villa,"Non Nuoc Beach, Danang",12.3,km,null,1 adult,700mı,"6,500,000"
Ocean Apartment Spa & Golf Danang,"Non Nuoc Beach, Danang",12.4,km,7,1 adult,70mı,"2,000,000"
Abogo Villa Sea View Spa Da Nang,"Bac My An Beach, Danang",5,km,null,1 adult,515mı,"14,981,357"
The Ocean Estates By Abogo,"Non Nuoc Beach, Danang",11.8,km,9.7,1 adult,515mı,"13,940,630"
Luxury Apartment,"Non Nuoc Beach, Danang",12.4,km,9,1 adult,90mı,"1,996,583"
DA NANG PENHOUSE 4BEDROOM 300SQM IN CITY CENTER,"Da Nang Bay, Danang",1.3,km,10,1 adult,300mı,"3,847,500"
POOL Seaview - 4B - Blue Sea - Balcony - Bathtub,"My Khe Beach, Danang",2.5,km,8,1 adult,33mı,"550,000"
Tropical Villa - Menu Breakfast Included,"Non Nuoc Beach, Danang",11.8,km,null,1 adult,600mı,"6,500,000"
Luxury Private Pool Villas in 5-Star Beach Resort & Near Downtown,"Bac My An Beach, Danang",4.9,km,10,1 adult,350mı,"8,500,000"
Lem's Apartment & Coffee,"My Khe Beach, Danang",2.5,km,8.9,1 adult,null,"607,500"
Central Beach Inn,"Bac My An Beach, Danang",3.7,km,8.4,1 adult,null,"600,000"
Dang's House With White Sand View,"My Khe Beach, Danang",3.4,km,null,1 adult,67mı,"1,200,000"
IDC White House Da Nang,"Non Nuoc Beach, Danang",12.4,km,8.7,1 adult,270mı,"4,370,000"
Tr?n Anh villa,"My Khe Beach, Danang",2.7,km,null,1 adult,310mı,"4,900,000"
Enigma Villa - Bi?t th? ven s“ng khu ?“ th? FPT,Danang,11.6,km,null,1 adult,null,"539,100"
(202)Studio room*At walking street-400m to beach*,"Bac My An Beach, Danang",3.7,km,null,1 adult,null,"364,500"
Gorgeous Villa with 15 rooms - 5min to beach- Rooftop Pool,"My Khe Beach, Danang",2.4,km,null,1 adult,200mı,"10,200,000"
Da Nang Beach Resort By Danatrip,"Non Nuoc Beach, Danang",11.7,km,null,1 adult,000mı,"15,210,000"
Large Luxury Villa,"Non Nuoc Beach, Danang",12.3,km,null,1 adult,200mı,"11,000,000"
The Ocean Apartment IDCWH B602,Danang,12.4,km,8.2,1 adult,85mı,"1,748,000"
Sea Breeze Condotel Danang,"Bac My An Beach, Danang",3.9,km,9.3,1 adult,45mı,"801,970"
Emblem Sea 3 bedroom villas,"Non Nuoc Beach, Danang",12.3,km,null,1 adult,40mı,"6,500,000"
Indochine Townhouse - Beach neighborhood,"My Khe Beach, Danang",2.8,km,9.1,1 adult,140mı,"2,065,500"
AN 2 Apartment,"My Khe Beach, Danang",3.4,km,null,1 adult,65mı,"1,800,000"
POOL sea view - 2A - Blue Sea Apart - near beach,"My Khe Beach, Danang",2.5,km,null,1 adult,null,"500,000"
Dory Sea View Homestay ?a? N??ng,"My Khe Beach, Danang",3.6,km,null,1 adult,240mı,"1,093,500"
Carol Villa Da Nang Beach 2,"My Khe Beach, Danang",2.7,km,null,1 adult,150mı,"5,652,500"
The Ocean Apartment IDCWH B302,Danang,12.4,km,7.9,1 adult,85mı,"1,496,250"
Mari Villa ?… N?ng,"Bac My An Beach, Danang",4.3,km,null,1 adult,400mı,"10,449,000"
POOL Seaview 5B - Apartment Near beach-Quiet place,"My Khe Beach, Danang",2.5,km,null,1 adult,null,"550,000"
Sea Sand Luxury Hotel,"Bac My An Beach, Danang",3.7,km,8.5,1 adult,null,"1,769,880"
Bo and Miu Homestay,"Bac My An Beach, Danang",4.5,km,10,1 adult,20mı,"3,000,000"
Villa Da Nang Resort Beachfront Abogo,"Bac My An Beach, Danang",5,km,8.6,1 adult,400mı,"11,337,662"
C?n h? M??ng Thanh ?… N?ng - Muong Thanh Aparment For Rent,"My Khe Beach, Danang",3.4,km,null,1 adult,null,"1,105,000"
5-star Golf Resort Pool Villa,Danang,11.6,km,null,1 adult,300mı,"5,250,000"
Quang Nguy?n Towel,"Da Nang City Center, Danang",3.3,km,1,1 adult,75mı,"720,000"
Vesta Art Suite 2 Bedrooms - The Ocean Villas Da Nang,"Non Nuoc Beach, Danang",10,km,null,1 adult,105mı,"4,500,000"
