name,address,distance,distance_type,rating,capaciity,area,price
C?n h? 01 phïng ng? + CTH01,"District 9, Ho Chi Minh City",17,km,10,2 adult,null,"850,000"
The Regal Residences at Vinhomes Central Park,"Binh Thanh, Ho Chi Minh City",3.5,km,9.7,2 adult,55m˝,"2,070,000"
1 Bedrooom L2 Vinhome Central Park,"Binh Thanh, Ho Chi Minh City",3.6,km,null,2 adult,null,"1,200,000"
C?n h? 3PN cho 10-15 kh†ch Celadon City full n?i th?t c¢ th? t? ch?c ti?c 3-5 bÖn,"Tan Phu District, Ho Chi Minh City",10.1,km,null,2 adult,null,"2,760,000"
The Manor Apartment - Free Roof Top Pool,"Binh Thanh, Ho Chi Minh City",3.2,km,null,2 adult,38m˝,"800,000"
Healing Sai Gon,"District 4, Ho Chi Minh City",1.8,km,null,2 adult,null,"2,625,000"
Serviced Apartments - FreePool&GYM - The Tresor,"District 4, Ho Chi Minh City",0.8,km,null,2 adult,null,"1,920,000"
Studio apartment View centre city,"District 4, Ho Chi Minh City",1.1,km,null,2 adult,null,"760,000"
Viet's Serviced Apartment,"Binh Thanh, Ho Chi Minh City",3.5,km,9,2 adult,51m˝,"1,190,000"
River Panorama apartment 3 bedrooms,"District 7, Ho Chi Minh City",7.9,km,10,2 adult,null,"1,800,000"
Metropolitan Apartments - Vinhomes Central Park,"Binh Thanh, Ho Chi Minh City",3.5,km,9,2 adult,60m˝,"1,235,000"
Masteri Thao Dien luxury apartment,"District 2, Ho Chi Minh City",5.9,km,null,2 adult,80m˝,"1,275,000"
C?N H? CAO C?P VINHOME CENTRAL PARK T?N C?NG,"Binh Thanh, Ho Chi Minh City",3.6,km,1,2 adult,60m˝,"2,400,000"
"Vinhomes Central Park, 1 bedroom","Binh Thanh, Ho Chi Minh City",3.5,km,10,2 adult,49m˝,"1,500,000"
Saigon Banhada - Rivergate,"District 4, Ho Chi Minh City",0.9,km,null,2 adult,80m˝,"2,000,000"
Sunrise City 1 Bed Room Full Furniture,"District 7, Ho Chi Minh City",3.2,km,null,2 adult,80m˝,"1,550,000"
A full furnished and well decorated room for 2 people near Ben Thanh market,"District 1, Ho Chi Minh City",0.7,km,1,2 adult,null,"400,000"
Home De Art G2,"Binh Thanh, Ho Chi Minh City",3.3,km,null,2 adult,null,"850,000"
Rivergate Apartment Pool&Gym,"District 4, Ho Chi Minh City",1,km,null,2 adult,80m˝,"1,600,000"
"Soho Residence - Studio Room, D1, HCMC","District 1, Ho Chi Minh City",1,km,5,2 adult,null,"999,000"
Warm Ways 2 Hotel & Serviced Apartments,"District 7, Ho Chi Minh City",4.4,km,null,2 adult,30m˝,"700,000"
C?n h? Emerald 2PN 2VS h? b?i Aeon mall TÉn Ph£,"Tan Phu District, Ho Chi Minh City",10.1,km,null,2 adult,null,"1,800,000"
Luxury Cozy 2bedrooms Condotel At D1 Sunset River View,"District 1, Ho Chi Minh City",1,km,null,2 adult,60m˝,"1,995,000"
"Luxury apartment with swimming pool, BBQ, Gym","District 2, Ho Chi Minh City",5.9,km,10,2 adult,68m˝,"1,313,000"
Anh - Millenium Aparment.,"District 4, Ho Chi Minh City",0.9,km,null,2 adult,null,"2,295,000"
"C?n h? 3 phïng ng? - ToÖ nhÖ Landmark4, t?ng 48, c?n 08","Binh Thanh, Ho Chi Minh City",3.6,km,7,2 adult,109m˝,"3,120,000"
Home stay H? Th? K?,"District 10, Ho Chi Minh City",2.4,km,null,2 adult,null,"900,000"
C?n h? Novaland SÉn bay TÉn S?n nh?t,"Tan Binh, Ho Chi Minh City",5.5,km,null,2 adult,70m˝,"1,400,000"
GV-S1/Gold View/2Bed/1Bath/Free Pool & Gym,"District 4, Ho Chi Minh City",1.8,km,10,2 adult,70m˝,"1,600,000"
NU Luxury Saigon Apartment - SAIGONROYAL,"District 4, Ho Chi Minh City",0.8,km,null,2 adult,70m˝,"1,440,000"
Apartment near TSN Airport 1Br,"Tan Binh, Ho Chi Minh City",5.5,km,null,2 adult,null,"950,000"
Spacious Studio @ City Center District 1 Free Pool and Gym,"District 4, Ho Chi Minh City",0.8,km,null,2 adult,null,"1,430,000"
