name,address,distance,distance_type,rating,capaciity,area,price
VinhomesRoyalCity#luxury#2bedrooms#2bathrooms,"Thanh Xuan, Hanoi",4.7,km,9,2 adult,115m˝,"2,200,000"
Layla House -2905 G3 Vinhomes Greenbay,Hanoi,7.7,km,10,2 adult,26m˝,"900,000"
MiLan Housing,Hanoi,12.2,km,null,2 adult,null,"920,000"
"NanaHousing-Vinhomes Skylake 2beds, nice view",Hanoi,7.4,km,null,2 adult,67m˝,"1,955,000"
B†t TrÖng Legacy - Venue Travel,Hanoi,8.3,km,7.5,2 adult,null,"1,219,860"
Vinhomes Skylake @3BR,Hanoi,7.4,km,null,2 adult,103m˝,"2,250,000"
VinhomesRoyalCity#luxury#3bedrooms#2bathrooms,"Thanh Xuan, Hanoi",4.7,km,8.5,2 adult,120m˝,"2,450,000"
Lavender/3BRS/2WC/InOldquarter,"Hoan Kiem, Hanoi",0.8,km,null,2 adult,null,"1,470,000"
Anstay G¢c Nh? Riàng T? 1 Ng? D'capital Tr?n Duy H?ng,"Cau Giay, Hanoi",6.6,km,null,2 adult,null,"1,700,000"
Hotel Villa Ju,Hanoi,8.6,km,4.5,2 adult,null,"1,125,000"
KingPalace 3 ng?,"Thanh Xuan, Hanoi",5,km,null,2 adult,null,"3,000,000"
Serene 3 Bed 2 Bath near Hanoi at Vinhomes Ocean Park,Hanoi,10.3,km,null,2 adult,null,"12,600,000"
Vinhomes Skylake 2BR next to Keangnam City View - Cindy's,Hanoi,7.5,km,null,2 adult,80m˝,"1,900,000"
2Br_Cozy & Luxury_ Metropolis_Near Lotte Tower,"Ba Dinh, Hanoi",4,km,null,2 adult,55m˝,"2,500,000"
Times City 2br Apartment,"Hai Ba Trung, Hanoi",4,km,null,2 adult,null,"1,440,000"
Bayhomes Green Bay Serviced Apartment,Hanoi,7.8,km,9,2 adult,30m˝,"1,134,000"
Bayhomes Royal City Serviced Apartment,"Thanh Xuan, Hanoi",4.6,km,null,2 adult,80m˝,"1,579,500"
C?n h? 3 ng?,"Thanh Xuan, Hanoi",4.7,km,null,2 adult,null,"2,960,000"
C?n h? chung c? Dcapital Tr?n Duy H?ng Studio,"Cau Giay, Hanoi",6.5,km,null,2 adult,35m˝,"1,200,000"
Old Town Backpackers Hostel,"Hoan Kiem, Hanoi",1,km,null,2 adult,null,"315,000"
The Comb Hanoi Hostel,"Hoan Kiem, Hanoi",1.2,km,7.7,2 adult,null,"268,000"
The One Hostel Hanoi,"Hoan Kiem, Hanoi",1.1,km,null,2 adult,null,"560,000"
Bia Hoi Corner Hostel & Rooftop Bar,"Hoan Kiem, Hanoi",0.8,km,7.8,2 adult,null,"450,000"
Chi's house - Vinhomes Royal city - 3BR - Spacious city view,"Thanh Xuan, Hanoi",4.6,km,null,2 adult,null,"2,000,000"
Homestay Vinhomes Greenbay NiceRoom,Hanoi,7.8,km,10,2 adult,null,"900,000"
Ben House vimcomes skylake ph?m hóng,Hanoi,7.3,km,null,2 adult,54m˝,"960,000"
"3N - S205 - Vinhomes ocean park Gia LÉm, HÖ N?i",Hanoi,9.9,km,null,2 adult,null,"1,850,000"
La Rosa Vinhomes Metropolis,"Ba Dinh, Hanoi",3.1,km,null,2 adult,50m˝,"1,044,000"
The Hive Homestay,"Tay Ho, Hanoi",4.3,km,9.4,2 adult,null,"720,000"
YoLo Homestay Vinhomes Ocean Park - H? th?ng c?n h? ngh? d??ng,Hanoi,10.8,km,3,2 adult,60m˝,"765,000"
Anstay TÉy H? C?n H? Cao C?p 2 Ng? Star Lake,Hanoi,6.1,km,null,2 adult,105m˝,"1,700,000"
Vinhomes Time city 2 Bed room,"Hai Ba Trung, Hanoi",3.6,km,null,2 adult,null,"1,500,000"
Homestay#Bathtub#Luxury#XaDan#DongDa#Beautiful,"Dong Da, Hanoi",2.5,km,null,2 adult,33m˝,"1,300,000"
U Home - 1 BR apartment at Vinhomes Royal City,"Thanh Xuan, Hanoi",4.8,km,6,2 adult,null,"1,550,000"
BlueHomes,"Ba Dinh, Hanoi",4.4,km,null,2 adult,null,"750,000"
royal city- c?n h? 2 phïng ng? 2 wc,"Thanh Xuan, Hanoi",4.6,km,9,2 adult,105m˝,"1,900,000"
NYNA House - Rooftop - Sky View - Egg Coffee Class,"Hai Ba Trung, Hanoi",3.8,km,7,2 adult,55m˝,"1,162,800"
Bayhomes D'Capitale Luxury Apartment,"Cau Giay, Hanoi",6.5,km,10,2 adult,30m˝,"891,000"
Vinhomes Metropolis-2BR 30,"Ba Dinh, Hanoi",3.9,km,null,2 adult,78m˝,"2,600,000"
3 BR City-View Vinhomes D'Capital,"Cau Giay, Hanoi",6.5,km,null,2 adult,null,"2,090,000"
Solaria Garden Khu Villa 2,Hanoi,33.9,km,7,2 adult,null,"1,500,000"
"LUXURY APARTMENT VINHOME METROPOLIS next LOTTE Center,Japan Embassy","Ba Dinh, Hanoi",3.9,km,8,2 adult,50m˝,"1,800,000"
"Hanoi Old Quarter Homestay, Big Balcony, Historic View","Hoan Kiem, Hanoi",1,km,null,2 adult,null,"2,883,600"
Vinhomes Sky Lake Ph?m Hóng View Keangnam,Hanoi,7.5,km,null,2 adult,50m˝,"1,519,050"
C?n h? chung c?,Hanoi,10.1,km,null,2 adult,null,"1,250,000"
Full House - The Matrix One,Hanoi,8.4,km,9,2 adult,88m˝,"2,375,000"
Homestay Vinhomes Skylake view h?,Hanoi,7.3,km,null,2 adult,null,"1,520,000"
Anstay Thiàn ???ng C?n H? 1 Ng? Metropolis HÖ N?i.,"Ba Dinh, Hanoi",4,km,null,2 adult,null,"1,425,000"
Homestay#HOPE#Bathtub#CauGiay#NiceRoom#GoodPrice,"Cau Giay, Hanoi",5.6,km,null,2 adult,null,"800,000"
Vinhomes Metropolis Superior Hanoi,"Ba Dinh, Hanoi",3.9,km,null,2 adult,50m˝,"1,800,000"
C?n h? cao c?p t?i tïa Ruby Vinhome Ocean Park,Hanoi,10.1,km,4,2 adult,45m˝,"680,000"
VinhomesTimescity#ParkHill#luxury#3bedrooms#2bathrooms,Hanoi,4.3,km,10,2 adult,null,"2,300,000"
Dung's House,"Hoan Kiem, Hanoi",350,m,4.9,2 adult,null,"315,000"
vinhomes smart city,Hanoi,12.2,km,null,2 adult,null,"648,000"
Vinhomes Skylake - Sang tr?ng vÖ ti?n nghi,Hanoi,7.3,km,null,2 adult,null,"1,800,000"
Thiàn ???ng ngh? d??ng ? Ecopark,Hanoi,10.1,km,null,2 adult,null,"2,900,000"
Vinhomes Greenbay studio,Hanoi,7.8,km,null,2 adult,null,"798,000"
vinhomes skylake 2 phïng ng?,Hanoi,7.6,km,9,2 adult,66m˝,"1,800,000"
S1.09 t?ng 12 phïng 15,Hanoi,10.2,km,8,2 adult,null,"864,000"
vinhomes metropolis 3 phïng ng?,"Ba Dinh, Hanoi",3.1,km,null,2 adult,null,"3,000,000"
Luxury 2 Bedroom Apartments,Hanoi,9.9,km,null,2 adult,null,"16,000,000"
C?N H? CAO C?P VINHOMES SKYLAKE,Hanoi,7.3,km,null,2 adult,76m˝,"1,520,000"
Hanoi Old Quarter Malo Homestay,"Hoan Kiem, Hanoi",0.9,km,7.3,2 adult,null,"522,000"
HOANG GIA HOTEL - DAI MO,Hanoi,10.3,km,null,2 adult,null,"1,300,000"
Vinhomes Skylake,Hanoi,7.3,km,null,2 adult,75m˝,"2,303,750"
Vinhomes Metropolis-304 Kim M?- Sunhouseland,"Ba Dinh, Hanoi",3.9,km,10,2 adult,55m˝,"1,709,050"
Chi's housse - Vinhomes Time city - 3BR,"Hai Ba Trung, Hanoi",3.7,km,null,2 adult,null,"1,600,000"
TÖi TÉm - Grand Spring Suites West Lake,"Tay Ho, Hanoi",4.6,km,null,2 adult,130m˝,"2,115,000"
El'Dorado TÉn HoÖng Minh TÉy H?,"Tay Ho, Hanoi",6.3,km,null,2 adult,40m˝,"1,500,000"
Lagoon Homestay,Hanoi,10.3,km,null,2 adult,null,"760,000"
2N 2VS Vinhomes ocean park Gia LÉm - HÖ N?i,Hanoi,10.4,km,null,2 adult,null,"1,305,000"
Layla House- 1230 G3 Luxury apartment for rent,Hanoi,7.7,km,10,2 adult,null,"800,000"
Gia Hung Motorbike & Home Stay,"Hoan Kiem, Hanoi",450,m,5.9,2 adult,null,"360,000"
Vinhomes Dcapitale Tr?n Duy H?ng c?n h? cao c?p Mint Home 3BR,"Cau Giay, Hanoi",6.4,km,6,2 adult,95m˝,"1,950,000"
Sally's Sweet Home No.8 / 2BRs,"Hai Ba Trung, Hanoi",3.2,km,null,2 adult,null,"1,400,000"
Homestay Vinhomes Smart City,Hanoi,12.2,km,null,2 adult,null,"850,000"
Homestay Vinhomes Sky Lake,Hanoi,7.3,km,null,2 adult,null,"1,208,888"
L'Amour homestay ToÖ s216,Hanoi,10.2,km,9.3,2 adult,74m˝,"959,200"
C?n H? Cao C?p Vinhomes Skylake,Hanoi,7.3,km,null,2 adult,74m˝,"1,224,000"
