name,address,distance,distance_type,rating,capaciity,area,price
Thanh Ha Guesthouse,Can Tho,0.5,km,9.5,3 adult,null,"665,000"
Nesta Hotel Can Tho,Can Tho,2.2,km,7.7,3 adult,null,"2,153,916"
Can Tho Eco Resort Powered by ASTON,Can Tho,13.2,km,8.8,3 adult,null,"3,456,000"
Chill Guesthouse Can Tho,Can Tho,400,m,9.3,3 adult,null,"600,000"
Van Phat Riverside Hotel,Can Tho,3.2,km,8.3,3 adult,null,"3,516,480"
NINH KIEU 2 HOTEL,Can Tho,200,m,7.7,3 adult,null,"2,760,000"
Kim Lan Hotel,Can Tho,200,m,7.8,3 adult,null,"1,184,400"
Dubai Luxury Hotel & Massage,Can Tho,1.6,km,9.5,3 adult,null,"1,008,000"
Saigon Can Tho Hotel,Can Tho,450,m,6,3 adult,null,"1,200,000"
Six Homestay,Can Tho,0.6,km,8.6,3 adult,null,"486,000"
Quyen's house,Can Tho,300,m,8.5,3 adult,null,"700,000"
Th?nh's House,Can Tho,1.8,km,9.7,3 adult,30mý,"750,000"
Ninh Kieu Riverside Hotel,Can Tho,0.9,km,7.7,3 adult,null,"2,900,000"
MISS HOSTEL C?N TH?,Can Tho,2.7,km,8.7,3 adult,null,"515,000"
Homestay 63,Can Tho,200,m,8.1,3 adult,null,"353,250"
Nh… Ngh? Gia Khang,Can Tho,2.6,km,6.2,3 adult,null,"520,000"
Thiˆn ?n Homestay,Can Tho,400,m,7.6,3 adult,null,"570,000"
Cozrum Homes - Gloaming Homestay,Can Tho,6.1,km,10,3 adult,null,"1,351,350"
Ngoc Lam Can Tho Hotel,Can Tho,2,km,6.8,3 adult,null,"900,000"
Maison de L‚a - Homestay & Coffee Can Tho 1,Can Tho,3.7,km,9.3,3 adult,null,"1,232,000"
Moony hostel,Can Tho,3,km,7.2,3 adult,null,"800,000"
Emerald Boutique Stay 2,Can Tho,0.7,km,8.2,3 adult,30mý,"1,031,000"
La'ANh Boutique Stay,Can Tho,2.3,km,8.3,3 adult,null,"560,000"
Mekong Farmstay CanTho - C.R Floating Market,Can Tho,6.3,km,9.6,3 adult,null,"1,690,000"
HOLIDAY 2 HOTEL,Can Tho,1.2,km,8,3 adult,null,"1,100,000"
HOTEL B? Cƒu,Can Tho,1.5,km,6.7,3 adult,null,"350,000"
Nhu's House 2,Can Tho,3.4,km,9.7,3 adult,50mý,"769,500"
Kim Long Hotel,Can Tho,0.6,km,8,3 adult,null,"680,000"
The BaNoi House,Can Tho,3.3,km,7.9,3 adult,90mý,"841,500"
Phuong Thuy Hotel,Can Tho,1.6,km,8.1,3 adult,null,"1,000,000"
Homestay Mekong Can Tho,Can Tho,6.7,km,7.5,3 adult,null,"600,000"
HOTEL SAO MAI ??a ch? 22D3 TR?N QUANG KH?I,Can Tho,1.7,km,4.5,3 adult,null,"475,000"
