name,address,distance,distance_type,rating,capaciity,area,price
Nam Quang Hotel,Da Lat,0.9,km,6.9,3 adult,null,"2,700,000"
V??n Lan Premium Central Apartment 0355966730,Da Lat,1.5,km,null,3 adult,130m˝,"892,670"
Ban Mai Xanh Homestays,Da Lat,1.7,km,9,3 adult,null,"684,000"
Books Home Dalat,Da Lat,2,km,7.3,3 adult,null,"1,707,886"
PINETOWN BACKPACKER'S,Da Lat,1.8,km,8,3 adult,null,"150,000"
Pretty Backpackers House,Da Lat,0.5,km,9.6,3 adult,null,"480,000"
Dalat Family Hostel,Da Lat,1.4,km,8.5,3 adult,null,"1,920,000"
Kumi House ?Ö L?t,Da Lat,1.7,km,null,3 adult,null,"1,440,000"
Thiàn Thanh,Da Lat,1.9,km,8.6,3 adult,null,"945,000"
Tashi House Dalat (Thong Nho oi),"Xuan Huong Lake, Da Lat",350,m,8.3,3 adult,null,"420,000"
Dalat Vania Hotel,Da Lat,0.9,km,8.7,3 adult,null,"998,000"
Pegamount Condotel Dalat,Da Lat,1.4,km,9.5,3 adult,50m˝,"1,215,000"
Homestay ti?n l?i ?Ö L?t Inn,Da Lat,1,km,8.3,3 adult,null,"198,000"
Newcentury Hotel,Da Lat,2.2,km,8.2,3 adult,null,"2,423,520"
Lan Anh Hotel,Da Lat,0.6,km,7.7,3 adult,null,"2,280,000"
Saphir Dalat Hotel,"Xuan Huong Lake, Da Lat",300,m,7.2,3 adult,null,"2,352,942"
Free Style Hotel Dalat,Da Lat,0.9,km,9.3,3 adult,null,"1,160,250"
Suka home,Da Lat,0.8,km,null,3 adult,null,"1,600,000"
Chivas Dalat Hotel,Da Lat,1,km,8.7,3 adult,null,"927,000"
NhÖ c?a Ng??i vÖ Ta,Da Lat,2,km,9.3,3 adult,null,"1,100,000"
Quynh Nguyen - Da Lat,Da Lat,1.3,km,8.7,3 adult,null,"1,000,000"
Ng?c Quang,Da Lat,1,km,8,3 adult,null,"700,000"
DECEMBER.22,Da Lat,0.7,km,8.3,3 adult,null,"1,700,000"
NhÖ Ngo?i ? ?Ö L?t,Da Lat,6.1,km,9.7,3 adult,null,"612,000"
Sammy Dalat Hotel,Da Lat,0.9,km,8,3 adult,null,"2,925,000"
BLUE FINGERs KROOM DALAT,Da Lat,0.9,km,8.3,3 adult,25m˝,"1,550,000"
DAN HOMESTAY DALAT,"Xuan Huong Lake, Da Lat",0.8,km,null,3 adult,null,"945,000"
Dalat 1893 Homestay,Da Lat,1.1,km,8.2,3 adult,null,"855,000"
? ?Éy Vui C?c,Da Lat,2,km,10,3 adult,null,"800,000"
Wisteria Hotel,"Xuan Huong Lake, Da Lat",0.5,km,8.5,3 adult,null,"2,400,000"
Th? House,Da Lat,1.1,km,null,3 adult,null,"670,700"
PoWill Home,Da Lat,1.4,km,8.7,3 adult,null,"1,111,500"
