name,address,distance,distance_type,rating,capaciity,area,price
The Ocean Apartment IDCWH A409,"Non Nuoc Beach, Danang",12.4,km,null,2 adult,70mı,"1,186,788"
POOL Seaview - 4B - Blue Sea - Balcony - Bathtub,"My Khe Beach, Danang",2.5,km,8,2 adult,33mı,"550,000"
The Point Villa Da Nang,"Non Nuoc Beach, Danang",11.7,km,10,2 adult,318mı,"5,489,338"
4BR Pearl Villa at Furramar Danang,"Bac My An Beach, Danang",5,km,9.7,2 adult,400mı,"9,500,000"
BaoAnh Ocean Apartments,"My Khe Beach, Danang",3.4,km,null,2 adult,20mı,"2,070,000"
POOL Seaview - 4A - -Blue Sea- Balcony- Bathtub,"My Khe Beach, Danang",2.5,km,null,2 adult,33mı,"550,000"
Brand New 2bdr Suite Rooftop Pool,"My Khe Beach, Danang",3,km,null,2 adult,100mı,"2,503,343"
Five Stars 5 Bedrooms And 1 Movie Room Beachfront,"Non Nuoc Beach, Danang",12,km,null,2 adult,000mı,"30,000,000"
Ocean Apartment,"Non Nuoc Beach, Danang",12.4,km,6.5,2 adult,72mı,"1,674,259"
AMAZING V.I.P Villa,"Non Nuoc Beach, Danang",11.9,km,null,2 adult,000mı,"32,384,499"
MI.A Hotel and Apartment Da Nang,"My Khe Beach, Danang",3.2,km,null,2 adult,50mı,"2,455,147"
Modern 4-bdr Villa Foosball Downstairs Cafe,"Bac My An Beach, Danang",4.6,km,null,2 adult,180mı,"5,057,137"
Beachfront villa 3bedrooms romantic for honeymoon,"Non Nuoc Beach, Danang",7.8,km,5.5,2 adult,350mı,"12,000,000"
Entire house 6BR - 5' drive MY KHE beach,"Da Nang City Center, Danang",1.3,km,null,2 adult,20mı,"4,455,000"
Carol Villa ?… N?ng Beach 1,"My Khe Beach, Danang",3,km,8.9,2 adult,400mı,"8,550,000"
Vietstork Villa 03 Bedroom Resort,"Non Nuoc Beach, Danang",7.6,km,null,2 adult,450mı,"11,826,000"
Charming 4 Bedrooms Villas with few step to beach,"Non Nuoc Beach, Danang",10,km,null,2 adult,65mı,"8,000,000"
Villa 3BR Peaceful 5 Minutes Walk To Beach Da Nang By Daisy,"Bac My An Beach, Danang",5,km,null,2 adult,516mı,"13,297,577"
Abogo Villa Pool Near Beach BBQ Free Da Nang,"Bac My An Beach, Danang",3.9,km,10,2 adult,500mı,"13,241,905"
Mai Boutique Villa,"My Khe Beach, Danang",2.5,km,8.6,2 adult,null,"659,600"
Rom Casa Hostel Da Nang,"Bac My An Beach, Danang",3.7,km,8.6,2 adult,null,"549,900"
Hana Homestay Danang,"My Khe Beach, Danang",3.1,km,9,2 adult,null,"196,000"
Starfish Hostel,"Bac My An Beach, Danang",3.9,km,7.2,2 adult,null,"133,000"
"?… N?ng Furama (4 bedroom, Garden or Sea view)","Bac My An Beach, Danang",5.7,km,null,2 adult,400mı,"22,000,000"
Luxury Apartment,"Non Nuoc Beach, Danang",12.4,km,9,2 adult,90mı,"2,595,558"
DA NANG PENHOUSE 4BEDROOM 300SQM IN CITY CENTER,"Da Nang Bay, Danang",1.3,km,10,2 adult,300mı,"3,847,500"
Two Bedrooms Apartment with Sea View,"Non Nuoc Beach, Danang",9.6,km,9,2 adult,90mı,"2,500,000"
AVilla Mountain,"Tho Quang Beach, Danang",5.9,km,10,2 adult,360mı,"10,000,000"
Chau An Villa 5 bedrooms at Ngu Hanh Son,"Marble Mountain, Danang",4.7,km,null,2 adult,200mı,"3,310,750"
Resort Villa Da Nang Luxurious,"Bac My An Beach, Danang",4.9,km,null,2 adult,516mı,"11,098,750"
POOL Seaview 3A - Deluxe Apartment BALCONY,"My Khe Beach, Danang",2.5,km,null,2 adult,null,"500,000"
Deluxe Sea view flat fully equipped for family,"Non Nuoc Beach, Danang",10,km,null,2 adult,null,"2,250,000"
Sun Grow Ocean Villas,"Non Nuoc Beach, Danang",12.3,km,null,2 adult,620mı,"17,500,000"
Bee Penthouse Seaview,"My Khe Beach, Danang",3.4,km,null,2 adult,60mı,"1,800,000"
Sun Grow Villas,"Bac My An Beach, Danang",4.6,km,null,2 adult,620mı,"15,215,000"
HH Residence - Serviced Apartment,"My Khe Beach, Danang",3.1,km,9.3,2 adult,44mı,"1,032,750"
Gold Moon Pool Villas *** Santorini Style ***,Danang,3.2,km,null,2 adult,600mı,"8,280,000"
Cheerful 4 BR home near My Khe Beach& local market,"My Khe Beach, Danang",2.7,km,null,2 adult,130mı,"1,611,900"
T P Deluxe House,"My Khe Beach, Danang",2.2,km,8.5,2 adult,300mı,"4,500,000"
Abogo Villa Sea View Spa Da Nang,"Bac My An Beach, Danang",5,km,null,2 adult,515mı,"15,144,197"
Excellent Ruby Villa near Han river,"Non Nuoc Beach, Danang",10,km,10,2 adult,220mı,"8,500,000"
White Villar ?a? N??ng,"My Khe Beach, Danang",3.4,km,7.9,2 adult,70mı,"2,550,000"
Da Nang Beach Front Villa at Ocean Resort,"Non Nuoc Beach, Danang",8.2,km,null,2 adult,000mı,"26,000,000"
Sunshine Apartment in 5* resort,"Non Nuoc Beach, Danang",12.4,km,5,2 adult,54mı,"1,600,370"
Carol House Beach ?… N?ng,"My Khe Beach, Danang",3.3,km,8.7,2 adult,400mı,"5,850,000"
"My Khe beach , An Thuong Street , 5 Bedroom ,Free parking, Cool","My Khe Beach, Danang",3.2,km,null,2 adult,270mı,"2,070,000"
POOL Seaview 5B - Apartment Near beach-Quiet place,"My Khe Beach, Danang",2.5,km,null,2 adult,null,"550,000"
Icity Villa Riverfront Danang,"Da Nang City Center, Danang",4.6,km,9.4,2 adult,400mı,"7,200,000"
Tarasa Hotel,"Da Nang Bay, Danang",1,km,7.3,2 adult,null,"900,000"
BaPhu Entire House - 5BR - 5min walk to My Khe beach,"My Khe Beach, Danang",2.8,km,10,2 adult,210mı,"3,333,333"
Furama ?… N?ng Resort view Sea or view Garden,"Bac My An Beach, Danang",4.6,km,null,2 adult,330mı,"12,000,000"
Ocean Apartment Spa & Golf Danang,"Non Nuoc Beach, Danang",12.4,km,7,2 adult,70mı,"2,000,000"
Gorgeous Villa with 15 rooms - 5min to beach- Rooftop Pool,"My Khe Beach, Danang",2.4,km,null,2 adult,200mı,"10,200,000"
Two-Bedrooms - POOL SEA VIEW - 6A - BLUE SEA APARTMENT,"My Khe Beach, Danang",2.5,km,10,2 adult,71mı,"1,000,000"
Mari Villa ?… N?ng,"Bac My An Beach, Danang",4.3,km,null,2 adult,400mı,"10,449,000"
Resort Villa Beach Private City Da Nang,"Bac My An Beach, Danang",5,km,null,2 adult,615mı,"9,818,182"
Lam Ocean View villa Da nang,"Non Nuoc Beach, Danang",11.7,km,7,2 adult,900mı,"9,000,000"
Ng?c B¡ch Hotel&Apartment,"My Khe Beach, Danang",2.6,km,null,2 adult,40mı,"567,000"
LA MAISON DE ANH,"My Khe Beach, Danang",3.5,km,1,2 adult,85mı,"2,000,000"
POOL sea view - 2A - Blue Sea Apart - near beach,"My Khe Beach, Danang",2.5,km,null,2 adult,null,"500,000"
Danaciti By Dabi Hotel,"My Khe Beach, Danang",2.5,km,8,2 adult,null,"1,400,000"
The Ocean Apartment IDCWH B602,Danang,12.4,km,8.2,2 adult,85mı,"1,748,000"
Casa de Tan 2 - Bi?t th? sang tr?ng t?i ?… N?ng,"Da Nang Bay, Danang",1,km,8.5,2 adult,270mı,"5,130,000"
Sanny Villas,Danang,3.2,km,8.7,2 adult,300mı,"4,000,000"
HMN Hotel and Apartment Da Nang,"My Khe Beach, Danang",2,km,7.5,2 adult,50mı,"1,661,750"
"Villa Adelia, Sauna, 4 star standard room, TV and balcony","My Khe Beach, Danang",3.2,km,7,2 adult,280mı,"3,100,000"
Dory Sea View Homestay ?a? N??ng,"My Khe Beach, Danang",3.6,km,null,2 adult,240mı,"1,184,625"
Indochine Townhouse - Beach neighborhood,"My Khe Beach, Danang",2.8,km,9.1,2 adult,140mı,"2,065,500"
Carol's Homestay & Apartment,"My Khe Beach, Danang",3.3,km,8.7,2 adult,null,"540,000"
LABI HOTEL ?? N?NG,"Han River, Danang",3.8,km,null,2 adult,null,"650,000"
The Fish Village Villa,Danang,4,km,7.6,2 adult,580mı,"9,828,000"
THANHMAI HOMESTAY,"My Khe Beach, Danang",3.6,km,8.2,2 adult,150mı,"605,150"
Quang Nguy?n Towel,"Da Nang City Center, Danang",3.3,km,1,2 adult,75mı,"800,000"
Stunning Beachfront 2bdr Condo Across My Khe Beach,"My Khe Beach, Danang",2.7,km,null,2 adult,null,"2,201,387"
178 Nguy?n V?n Tho?i - Danang - APARTMENTS,"My Khe Beach, Danang",3.1,km,null,2 adult,null,"585,000"
BAO's House,"Marble Mountain, Danang",5.1,km,8,2 adult,40mı,"1,656,000"
M?a House,"My Khe Beach, Danang",2.8,km,null,2 adult,100mı,"2,700,000"
Villas 4 Bedroom Furama ?a Nang,"Marble Mountain, Danang",6.2,km,null,2 adult,300mı,"22,500,000"
Chocolate 5Bedroom 7 QueenBed 5 Min Walk Beach,"My Khe Beach, Danang",3.1,km,null,2 adult,180mı,"1,550,000"
Minh Tr??ng Hotel Da Nang,"Da Nang Bay, Danang",2.4,km,7.3,2 adult,null,"375,253"
M?a's house TL-private swimming pool,"My Khe Beach, Danang",3,km,9,2 adult,130mı,"3,800,000"
Blooming Tower- ?… N?ng,"Han River, Danang",2.5,km,1,2 adult,134mı,"1,152,000"
Luxury Private Pool Villas in 5-Star Beach Resort & Near Downtown,"Bac My An Beach, Danang",4.9,km,10,2 adult,350mı,"8,500,000"
La Rose Villa-3BR Free Pick Up,"Non Nuoc Beach, Danang",12.3,km,null,2 adult,700mı,"8,000,000"
Minimalist Sea View Apartment,"Tho Quang Beach, Danang",4.2,km,null,2 adult,null,"1,080,000"
Luxury Ocean Villa 3 bedrooms close to the Beach,"Non Nuoc Beach, Danang",10,km,6.8,2 adult,300mı,"7,000,000"
One Bedroom Apartment with Sea View,"Non Nuoc Beach, Danang",9,km,9,2 adult,60mı,"1,600,000"
Sunny Beach Villa,"Non Nuoc Beach, Danang",12.3,km,null,2 adult,700mı,"6,500,000"
The Five Villa 5 Bedrooms Beachfront - K2,"Non Nuoc Beach, Danang",12,km,null,2 adult,000mı,"28,000,000"
The Ocean Apartment IDCWH B302,Danang,12.4,km,7.9,2 adult,85mı,"1,496,250"
Large Luxury Villa,"Non Nuoc Beach, Danang",12.3,km,null,2 adult,200mı,"11,000,000"
Zuchi's Home&Apartment,Danang,2.3,km,8.7,2 adult,35mı,"720,000"
Muong Thanh Apartment front Ocean,"My Khe Beach, Danang",3.4,km,8.5,2 adult,52mı,"850,000"
Shore Villa,"Da Nang Bay, Danang",1.7,km,8,2 adult,750mı,"2,950,000"
Ng…n sao Hotel,"Da Nang City Center, Danang",3.8,km,null,2 adult,null,"1,000,000"
C?n h? M??ng Thanh ?… N?ng - Muong Thanh Aparment For Rent,"My Khe Beach, Danang",3.4,km,null,2 adult,null,"1,105,000"
Mayana Hotel,"Han River, Danang",450,m,8.5,2 adult,null,"510,000"
Sea Breeze Condotel Danang,"Bac My An Beach, Danang",3.9,km,9.3,2 adult,45mı,"801,970"
Yuki Apartment,"My Khe Beach, Danang",3,km,9.2,2 adult,35mı,"540,000"
Sharon Hotel and Apartment,"My Khe Beach, Danang",3.2,km,9.3,2 adult,35mı,"850,500"
Hiˆn Luong apterment,"Tho Quang Beach, Danang",4.3,km,null,2 adult,null,"339,000"
Anstay Luxury Apartment Da Nang,"My Khe Beach, Danang",2.5,km,null,2 adult,102mı,"4,410,000"
Huy Ng?c Hotel,"My Khe Beach, Danang",3,km,8,2 adult,null,"1,300,000"
Emblem Sea 3 bedroom villas,"Non Nuoc Beach, Danang",12.3,km,null,2 adult,40mı,"6,500,000"
AN 2 Apartment,"My Khe Beach, Danang",3.4,km,1,2 adult,65mı,"1,800,000"
Green House,"My Khe Beach, Danang",3.8,km,4.5,2 adult,55mı,"550,800"
King Hotel Da Nang,"My Khe Beach, Danang",2.6,km,7.5,2 adult,null,"540,000"
POOL Seaview 3B Apartment - BATHTUB -BALCONY,"My Khe Beach, Danang",2.5,km,null,2 adult,null,"500,000"
Dang's House With White Sand View,"My Khe Beach, Danang",3.4,km,null,2 adult,67mı,"1,200,000"
MINH HOANG HY HOTEL,"My Khe Beach, Danang",2.6,km,8.4,2 adult,null,"550,000"
Apartment Seaview Da Nang,"My Khe Beach, Danang",3.4,km,8.7,2 adult,50mı,"799,200"
Hoang Lan Villa - Suoi Luong - Hai Van Park,Danang,15.2,km,10,2 adult,null,"792,000"
Emily Hotel and Apartment Da Nang,"Bac My An Beach, Danang",3.8,km,null,2 adult,50mı,"1,375,000"
Adelia's Home,"My Khe Beach, Danang",3.2,km,null,2 adult,70mı,"4,000,000"
Rung Huong Apartment,"Bac My An Beach, Danang",4.6,km,9.5,2 adult,140mı,"3,325,000"
Luxury Beach Villa Da Nang,"My Khe Beach, Danang",2.5,km,10,2 adult,700mı,"20,161,290"
MuongThanh - Apartment Sea Light,"My Khe Beach, Danang",3.4,km,8.3,2 adult,68mı,"1,199,000"
Song Cat Villa 1,"Marble Mountain, Danang",4.9,km,5,2 adult,200mı,"3,430,000"
Phong 1226 Chung cu,"My Khe Beach, Danang",3.3,km,6.8,2 adult,null,"1,100,000"
Tr?n Anh villa,"My Khe Beach, Danang",2.7,km,null,2 adult,310mı,"4,900,000"
Sea Garden Hotel,"My Khe Beach, Danang",2,km,10,2 adult,null,"1,280,000"
Sena home 3rd-Near Danang Dragon bridge-Han river,"Han River, Danang",1.6,km,9.5,2 adult,null,"450,000"
Apartment Front Ocean,"My Khe Beach, Danang",3.4,km,null,2 adult,52mı,"850,000"
?a Ph??c Shore Villa,"Da Nang Bay, Danang",1.7,km,null,2 adult,650mı,"3,600,000"
Huong Son Hotel Da Nang,Danang,5.5,km,7,2 adult,null,"765,000"
Dana Sea Apartment,"My Khe Beach, Danang",3.4,km,null,2 adult,66mı,"1,400,000"
Ha's Apartment,"My Khe Beach, Danang",3.4,km,null,2 adult,67mı,"1,080,000"
Da Nang Beach Villa,"My Khe Beach, Danang",2.7,km,10,2 adult,700mı,"16,129,032"
Son Tra Beach Villa Da Nang,"My Khe Beach, Danang",2.8,km,10,2 adult,700mı,"16,129,032"
Bo and Miu Homestay,"Bac My An Beach, Danang",4.5,km,10,2 adult,20mı,"3,000,000"
Carol Villa Da Nang Beach 2,"My Khe Beach, Danang",2.7,km,null,2 adult,150mı,"5,652,500"
Mr. Boss House Apartment,Danang,14.4,km,null,2 adult,null,"2,640,000"
