name,address,distance,distance_type,rating,capaciity,area,price
C?n h? cao c?p view bi?n Alacarte H? Long,Ha Long,8.1,km,null,1 adult,null,"1,116,000"
HÖ Mai Citadin homestay H? Long,"Bai Chay, Ha Long",7,km,null,1 adult,null,"2,160,000"
Haradise Suite Villa & Homestay Ha Long,Ha Long,7.8,km,9.1,1 adult,25m˝,"4,864,860"
C?n HO5-3 the little Vi?t Nam,Ha Long,7.8,km,9.5,1 adult,100m˝,"2,879,999"
DUAS HOUSE - NEWLIFE1106C,"Bai Chay, Ha Long",5.8,km,10,1 adult,76m˝,"906,471"
Trippy villa: FLC H? Long,Ha Long,3.4,km,1,1 adult,null,"3,900,000"
Savanna Hotel,"Bai Chay, Ha Long",5.1,km,8,1 adult,null,"3,000,000"
FLC villa golf & resort view Ha long bay,Ha Long,3.2,km,null,1 adult,450m˝,"8,400,000"
"VNRooms Sunset Villa - Bi?t Th? Ngh? D??ng M?t Bi?n B?i Ch†y, H? Long","Bai Chay, Ha Long",5.4,km,null,1 adult,350m˝,"8,910,000"
Penhouse 4 ng? View bi?n r?ng 160m2,"Bai Chay, Ha Long",5.8,km,10,1 adult,160m˝,"2,925,000"
Sapotahomestay,Ha Long,7.6,km,9.5,1 adult,null,"3,600,000"
Villa 4PN phong c†ch vintage H? Long,Ha Long,7.8,km,null,1 adult,null,"3,539,250"
Ivy Apartment - A cozy 2-bedroom apartment perfect for Ha Long Getaway,"Hon Gai, Ha Long",0.9,km,8.5,1 adult,null,"1,620,000"
C?n h? 3 phïng ng?,"Bai Chay, Ha Long",5.8,km,null,1 adult,103m˝,"3,350,000"
Homestay newlife H? Long,"Bai Chay, Ha Long",5.8,km,null,1 adult,72m˝,"2,450,000"
The View Villa & Homestay,"Bai Chay, Ha Long",5.4,km,null,1 adult,200m˝,"9,000,000"
"ROSE 24, C?n g¢c 3 Phïng Ng?, T?ng cao, View bi?n 180 ??",Ha Long,7.5,km,8.4,1 adult,100m˝,"1,500,000"
Nostalgia Halong Cruise,"Tuan Chau, Ha Long",9.9,km,10,1 adult,null,"9,730,375"
Asahi Luxstay - Halong Bayview 3Br Apartment,Ha Long,7.5,km,10,1 adult,86m˝,"3,168,000"
Villa Royal Lotus OTM 924,Ha Long,8.3,km,10,1 adult,null,"3,780,000"
Perles Villa - Venue Travel,"Hon Gai, Ha Long",0.8,km,null,1 adult,90m˝,"6,707,340"
Homestay 88,"Bai Chay, Ha Long",5.8,km,null,1 adult,null,"1,080,000"
T??ng Vi Home,"Bai Chay, Ha Long",5.7,km,null,1 adult,100m˝,"864,000"
HOMESTAY-PHAMTHAO,Ha Long,7.5,km,null,1 adult,65m˝,"1,125,000"
Galaxy luxury homestay - ? La Carte Halong bay,Ha Long,7.6,km,null,1 adult,54m˝,"891,000"
Villa Royal Lotus - 5BR,Ha Long,7.9,km,null,1 adult,130m˝,"5,500,000"
Glenda Villa Tu?n ChÉu,"Tuan Chau, Ha Long",9.7,km,10,1 adult,30m˝,"26,325,000"
*Ha Long Homestay @ Ha Long Bay View-3 BR,Ha Long,7.7,km,10,1 adult,null,"1,400,000"
Zenna Villa Ha long,"Tuan Chau, Ha Long",10,km,8.8,1 adult,null,"18,399,988"
HANZ Almor Hotel Ha Long,"Bai Chay, Ha Long",3.1,km,8.4,1 adult,50m˝,"6,796,440"
C?n h? 3 phïng ng? newlife b?i ch†y,"Bai Chay, Ha Long",5.8,km,9.2,1 adult,null,"1,620,000"
Royal Lotus 10.05,Ha Long,7.9,km,null,1 adult,80m˝,"3,600,000"
Hana House,Ha Long,7.5,km,null,1 adult,null,"1,111,500"
(Best Seller) Very nice 3 bedroom apartment in Ha Long,"Bai Chay, Ha Long",5.8,km,10,1 adult,105m˝,"2,275,000"
Villa Lotus,Ha Long,8.2,km,null,1 adult,null,"3,850,000"
Sunshine Sapphire H? Long,"Hon Gai, Ha Long",0.9,km,9.2,1 adult,70m˝,"2,300,000"
YaMe Homestay Sapphire,"Hon Gai, Ha Long",0.9,km,null,1 adult,70m˝,"1,600,000"
Ahoj Guest House,"Bai Chay, Ha Long",6.4,km,8,1 adult,null,"300,000"
Sky,Ha Long,8.3,km,9,1 adult,null,"600,000"
Villa lotus 506,Ha Long,7.9,km,5,1 adult,400m˝,"7,070,400"
Happy House Homestay,Ha Long,7.7,km,9.3,1 adult,40m˝,"891,000"
La Casta Regal Cruise,"Tuan Chau, Ha Long",10.1,km,9,1 adult,null,"8,000,000"
"C?n h? duplex, 3 phïng ng?, ti?n °ch 5 sao","Bai Chay, Ha Long",6.9,km,10,1 adult,null,"3,150,000"
*Ha Long Homestay @ Sunrise Apartment- 4 BR,Ha Long,7.3,km,9.6,1 adult,null,"2,090,000"
Linh Chi Homestay H? Long,Ha Long,9.1,km,8,1 adult,null,"450,000"
Blue Homestay,"Bai Chay, Ha Long",3.6,km,null,1 adult,null,"1,215,000"
Homestay GreenbayGarden,Ha Long,7.5,km,null,1 adult,null,"880,000"
"Homstay Green Bay Garden Hóng Th?ng, H? Long c†ch bi?n 800m",Ha Long,7.5,km,null,1 adult,35m˝,"600,000"
*Ha Long Homestay @ Sunrise Apartment - 2 BR,Ha Long,7.3,km,9.7,1 adult,null,"1,390,000"
Homestay Happy,Ha Long,7.5,km,null,1 adult,50m˝,"364,800"
Homestay H? Long,"Bai Chay, Ha Long",7.2,km,null,1 adult,null,"5,850,000"
Dragon Hotel Tuan Chau,"Tuan Chau, Ha Long",9.9,km,8,1 adult,null,"770,000"
La Lumiere Harbour House H? Long,"Hon Gai, Ha Long",1,km,9,1 adult,85m˝,"3,600,000"
MiAn Sapphire Homestay,"Hon Gai, Ha Long",0.9,km,10,1 adult,50m˝,"1,800,000"
Homestay Bi,Ha Long,7.7,km,null,1 adult,null,"1,200,000"
150 B?i Ch†y,"Bai Chay, Ha Long",3.7,km,8,1 adult,120m˝,"1,800,000"
Citadines Marina Halong 3BR Apartment,"Bai Chay, Ha Long",7,km,null,1 adult,null,"3,500,000"
QN Home Halong - Greenbay Premium,Ha Long,7.5,km,10,1 adult,70m˝,"1,080,000"
Homestay Ha Long luxury (sea ??view),"Bai Chay, Ha Long",5.8,km,10,1 adult,72m˝,"1,000,000"
Citadinese Bim hóng th?ng h? Long Qu?ng Ninh,"Bai Chay, Ha Long",7,km,null,1 adult,null,"896,000"
Ruby Villa,"Tuan Chau, Ha Long",9.7,km,5.2,1 adult,600m˝,"8,500,000"
C?n h? 3PN view bi?n xinh ??p c¢ b? b?i,"Bai Chay, Ha Long",5.8,km,null,1 adult,null,"1,500,000"
"Villa 102 royal lotus, Hóng Th?ng, H? Long, Qu?ng Ninh",Ha Long,7.9,km,10,1 adult,239m˝,"2,800,000"
Prime Homes Halong Apartment,"Bai Chay, Ha Long",5.8,km,8.7,1 adult,96m˝,"1,800,000"
"Na Vintage c?n h? 1 ng? c¢ b?n t?m, ban cìng view v?nh H? Long C†ch bi?n 50m","Bai Chay, Ha Long",7,km,null,1 adult,61m˝,"1,850,000"
"Homestay H? Long view bi?n, ??y ?? ti?n nghi, ??p",Ha Long,8,km,9,1 adult,35m˝,"540,000"
B?o ChÉu H? Long Hotel,"Bai Chay, Ha Long",6.8,km,null,1 adult,null,"1,200,000"
