hcm,hn,dn,dl,other,distance,rating,capacity,area,price
0,0,0,0,1,5600,1.89999998,1,30,480000
0,0,0,0,1,3300,7.9000001,1,90,742500
0,0,0,0,1,300,8.89999962,1,72,877500
0,0,0,0,1,3400,9.69999981,1,35,526500
0,0,0,0,1,500,9.80000019,1,150,2070000
0,0,0,0,1,700,8.19999981,1,30,500000
0,0,0,0,1,6100,10,1,20,675675
0,0,0,0,1,8700,8.60000038,1,23,700000
0,0,0,0,1,7100,9.39999962,1,55,921000
0,0,0,0,1,350,8.30000019,1,18,730000
0,0,0,0,1,5600,6.19999981,2,30,510000
0,0,0,0,1,300,8.89999962,2,72,936000
0,0,0,0,1,3400,9.69999981,2,35,585000
0,0,0,0,1,6100,10,2,20,675675
0,0,0,0,1,9000,7.5999999,2,25,1085000
0,0,0,0,1,8700,8.60000038,2,23,700000
0,0,0,0,1,7100,9.39999962,2,55,1161000
0,0,0,0,1,350,8.30000019,2,18,730000
0,0,0,1,0,1800,10,1,150,3385800
0,0,0,1,0,800,2.9000001,1,125,2500000
0,0,0,1,0,3000,5.5,1,56,2000000
0,0,0,1,0,1100,1.79999995,1,270,5000000
0,0,0,1,0,4700,9.10000038,1,400,3125500
0,0,0,1,0,500,8.60000038,1,40,2100000
0,0,0,1,0,2500,1,1,500,4495500
0,0,0,1,0,3200,10,1,250,5100000
0,0,0,1,0,1400,9.39999962,1,140,1296000
0,0,0,1,0,1300,8,1,300,1404000
0,0,0,1,0,300,10,1,100,4000000
0,0,0,1,0,3400,2.29999995,1,40,1530000
0,0,0,1,0,4000,8.30000019,1,30,3996000
0,0,0,1,0,1700,10,1,120,1008000
0,0,0,1,0,1400,6,1,280,1960000
0,0,0,1,0,12600,6.9000001,1,120,2800000
0,0,0,1,0,1500,9,1,225,4500000
0,0,0,1,0,1800,10,1,120,1800000
0,0,0,1,0,1300,9.5,1,87,2700000
0,0,0,1,0,1900,7.5999999,1,40,439200
0,0,0,1,0,2500,8.39999962,1,150,1600000
0,0,0,1,0,1500,9.30000019,1,250,3000000
0,0,0,1,0,2900,6.0999999,1,30,3960000
0,0,0,1,0,1600,4,1,300,3596400
0,0,0,1,0,2000,9,1,130,579600
0,0,0,1,0,1400,3.5,1,90,1732500
0,0,0,1,0,1800,9.69999981,1,100,1154250
0,0,0,1,0,1900,7.9000001,1,130,615600
0,0,0,1,0,10900,8,1,20,1610000
0,0,0,1,0,1100,3.29999995,1,120,2240000
0,0,0,1,0,2600,5.80000019,1,25,4195800
