address,distance,rating,capaciity,area,price
cantho,1400,93,1,,5648412
cantho,1400,93,2,,5648412
cantho,1300,89,1,,2990400
cantho,1300,89,2,,2990400
cantho,3200,92,1,,2700000
cantho,3200,92,2,,2700000
cantho,1300,90,1,,2419999
cantho,1300,90,2,,2419999
cantho,6900,82,1,,2236000
cantho,6900,82,2,,2236000
cantho,500,98,1,150,2070000
cantho,1400,95,1,,1950000
cantho,1400,95,2,,1950000
cantho,1300,80,1,,1827000
cantho,3200,83,2,,1758240
cantho,13200,88,1,,1641600
cantho,13200,88,2,,1641600
cantho,600,86,2,,1598454
cantho,700,79,2,,1512000
cantho,6300,96,1,,1500000
cantho,900,77,1,,1450000
cantho,900,77,2,,1450000
cantho,10000,90,2,,1400000
cantho,700,79,1,,1360800
cantho,200,77,1,,1311000
cantho,200,77,2,,1311000
cantho,10000,90,1,,1305000
cantho,900,86,1,,1251275
cantho,900,86,2,,1251275
cantho,1300,67,1,,1235000
cantho,1300,67,2,,1235000
cantho,9000,94,1,,1200000
cantho,9000,94,2,,1200000
cantho,7100,94,2,55,1161000
cantho,11600,85,1,,1158050
cantho,11600,85,2,,1158050
cantho,800,84,1,,1134276
cantho,800,84,2,,1134276
cantho,700,71,2,,1131000
cantho,3800,88,2,,1101600
cantho,20700,97,2,,1099000
cantho,9000,76,2,25,1085000
cantho,11200,95,2,,1080000
cantho,2200,76,1,,1066188
cantho,2200,76,2,,1066188
cantho,20700,97,1,,1044050
cantho,700,71,1,,1040000
cantho,350,100,2,,1020000
cantho,600,92,1,,990000
cantho,700,77,1,,990000
cantho,9100,100,2,,990000
cantho,600,92,2,,990000
cantho,700,77,2,,990000
cantho,350,100,1,,960000
cantho,1300,91,1,,945000
cantho,1300,91,2,,945000
cantho,300,89,2,72,936000
cantho,7100,94,1,55,921000
cantho,3700,85,2,,900000
cantho,300,89,1,72,877500
cantho,400,83,2,,822000
cantho,10100,99,1,,810000
cantho,10100,99,2,,810000
cantho,3700,85,1,,800000
cantho,8700,86,1,,800000
cantho,9000,87,1,,800000
cantho,1200,70,2,,800000
cantho,9000,86,2,,800000
cantho,8700,86,2,,800000
cantho,11200,95,1,,792000
cantho,600,62,1,,774217
cantho,600,62,2,,774217
cantho,1200,80,1,,750000
cantho,1200,80,2,,750000
cantho,3300,79,1,90,742500
cantho,350,83,1,18,730000
cantho,350,83,2,18,730000
