address,distance,distance_type,rating,capaciity,area,price
cantho,3300,km,79,1,90,742500
cantho,9000,km,76,1,25,1085000
cantho,300,m,89,1,72,877500
cantho,3400,km,97,1,35,526500
cantho,700,km,82,1,30,500000
cantho,6100,km,100,1,20,675675
cantho,500,km,98,1,150,1863000
cantho,8700,km,86,1,23,700000
cantho,7100,km,94,1,55,921000
cantho,350,m,83,1,18,730000
cantho,300,m,89,2,72,936000
cantho,3400,km,97,2,35,585000
cantho,9000,km,76,2,25,1085000
cantho,6100,km,100,2,20,675675
cantho,500,km,98,2,150,1863000
cantho,8700,km,86,2,23,700000
cantho,7100,km,94,2,55,1161000
cantho,350,m,83,2,18,730000
cantho,1800,km,97,3,30,750000
cantho,700,km,82,3,30,1031000
cantho,3400,km,97,3,50,769500
cantho,3300,km,79,3,90,841500
cantho,9000,km,76,3,55,1890000
cantho,300,m,89,3,72,1105000
cantho,1300,km,82,3,32,602400
cantho,50,m,78,3,55,750000
cantho,600,km,92,3,50,2015000
cantho,1700,km,83,3,35,920400
cantho,1400,km,93,3,669,29856750
cantho,20700,km,97,3,60,1578285
cantho,11800,km,91,3,36,850000
cantho,500,km,98,3,150,1863000
cantho,1500,km,95,4,14,650000
cantho,500,m,72,4,60,369000
cantho,1800,km,97,4,30,750000
cantho,700,km,82,4,30,1050000
cantho,20700,km,97,4,60,2385010
cantho,11800,km,91,4,36,1360000
cantho,600,km,86,4,45,3229600
cantho,600,km,92,4,50,2615000
cantho,3400,km,97,4,50,855000
cantho,3300,km,79,4,90,891000
cantho,9000,km,76,4,55,1890000
cantho,300,m,89,4,72,1170000
cantho,1400,km,93,4,669,29856750
cantho,500,km,98,4,150,1863000
cantho,9000,km,94,4,55,2000000
cantho,8700,km,86,4,50,1750000
cantho,3200,km,83,5,120,16836480
cantho,700,km,82,5,30,1581000
cantho,3400,km,97,5,35,1354500
cantho,1300,km,82,5,32,1020800
cantho,1700,km,83,5,35,1380600
cantho,50,m,78,5,55,1300000
cantho,600,km,86,5,45,3633250
cantho,600,km,92,5,50,3015000
cantho,300,m,84,5,16,642000
cantho,3700,km,89,5,35,969000
cantho,2300,km,83,5,500,3600000
cantho,20700,km,97,5,60,2677285
cantho,350,m,83,5,18,1880000
cantho,11800,km,91,5,36,1530000
cantho,8700,km,86,5,50,1750000
cantho,300,m,89,5,72,1235000
cantho,1400,km,93,5,702,43428000
cantho,1600,km,79,5,60,2062410
cantho,9000,km,76,5,140,3620719
dalat,1300,km,80,1,300,1404000
dalat,1400,km,94,1,140,1296000
dalat,3200,km,100,1,250,5100000
dalat,1700,km,100,1,120,1008000
dalat,10900,km,80,1,20,1610000
dalat,1900,km,76,1,40,439200
dalat,1800,km,100,1,150,3385800
dalat,1500,km,93,1,250,3000000
dalat,1000,km,50,1,100,1152000
dalat,4700,km,91,1,400,3125500
dalat,1800,km,100,1,120,1800000
dalat,3000,km,55,1,56,2000000
dalat,1400,km,60,1,280,1960000
dalat,1500,km,45,1,300,1494000
dalat,1500,km,96,1,300,4275000
dalat,250,m,95,1,70,1800000
dalat,1100,km,100,1,220,1338750
dalat,1900,km,92,1,250,1100000
dalat,1100,km,88,1,100,1193400
dalat,1100,km,80,1,160,1462500
dalat,1800,km,97,1,100,1154250
dalat,2200,km,100,1,100,1656000
dalat,8300,km,100,1,20,630000
dalat,1600,km,90,1,100,1674340
dalat,1300,km,95,1,87,3400000
dalat,300,m,86,1,101,2700000
dalat,1700,km,90,1,200,1008000
dalat,600,km,88,1,100,2551500
dalat,2100,km,100,1,200,1350000
dalat,1600,km,100,1,60,1539000
dalat,2300,km,77,1,99,1599000
dalat,2300,km,88,1,350,3672000
dalat,1700,km,100,1,120,1200000
dalat,1600,km,100,1,40,552500
dalat,1300,km,100,1,40,1200000
dalat,2100,km,90,1,131,1113750
dalat,800,km,80,1,25,440000
dalat,250,m,82,1,30,600000
dalat,2100,km,90,1,130,1101600
dalat,2300,km,91,1,52,990000
dalat,2300,km,87,1,50,1222222
dalat,2000,km,86,1,130,850500
dalat,800,km,94,1,160,1750000
dalat,2100,km,90,1,132,1102500
