address,distance,rating,capacity,area,price
cantho,700,82,1,30,500000
cantho,6100,100,1,20,675675
cantho,8700,86,1,23,700000
cantho,7100,94,1,55,921000
cantho,350,83,1,18,730000
cantho,300,89,2,72,936000
cantho,3400,97,2,35,585000
cantho,6100,100,2,20,675675
cantho,9000,76,2,25,1085000
cantho,8700,86,2,23,700000
cantho,7100,94,2,55,1161000
cantho,350,83,2,18,730000
dalat,350,84,1,25,1053000
dalat,8300,100,1,20,630000
dalat,1700,100,1,120,1200000
dalat,1300,92,1,25,360000
dalat,1300,100,1,40,1200000
dalat,2800,10,1,150,1000000
dalat,2800,88,1,30,720000
dalat,800,80,1,25,440000
dalat,800,94,1,160,1750000
dalat,700,100,1,25,959000
dalat,2100,90,1,130,1101600
dalat,500,88,1,80,1980000
dalat,1400,94,1,150,2142000
dalat,2000,86,1,130,850500
dalat,2300,91,1,52,990000
dalat,2300,87,1,50,1222222
dalat,2700,78,1,70,598500
dalat,1300,100,1,300,1201200
dalat,900,83,1,20,700000
dalat,2800,80,1,400,4499999
dalat,2100,90,1,132,1102500
dalat,1500,89,1,240,2850000
dalat,1600,80,1,33,1403000
dalat,1600,85,1,30,933333
dalat,2200,100,1,25,1980000
dalat,2800,91,1,30,450000
dalat,5300,82,1,35,1606500
dalat,2100,86,1,134,697500
dalat,900,98,1,120,3325000
dalat,2200,80,1,26,648000
dalat,1400,100,1,200,4879000
dalat,2100,87,1,130,561000
dalat,900,87,1,200,3328000
dalat,1300,83,1,20,321750
dalat,2100,94,1,100,2596500
dalat,300,79,1,40,1200000
dalat,1100,86,1,13,780000
dalat,600,90,1,28,1629000
dalat,1400,95,1,50,1215000
dalat,700,98,1,90,1215000
dalat,1700,99,1,70,2677860
dalat,2000,90,1,130,579600
dalat,1400,100,1,210,971514
dalat,2100,78,1,130,735300
dalat,350,84,1,25,1053000
dalat,1300,92,1,25,360000
dalat,2800,88,1,30,720000
dalat,1600,80,1,33,1403000
dalat,2200,87,1,100,1161945
dalat,2900,84,1,80,1168410
dalat,700,100,1,25,959000
dalat,7800,79,1,20,500000
dalat,1500,89,1,240,2850000
dalat,2200,78,1,50,682500
dalat,1100,86,1,13,780000
dalat,600,90,1,28,1629000
dalat,900,80,1,79,750000
dalat,2200,87,1,100,1161945
dalat,1400,100,1,210,971514
dalat,150,83,1,17,939000
dalat,900,80,1,79,750000
dalat,2200,78,1,50,682500
dalat,150,83,1,17,939000
dalat,2800,88,2,30,720000
dalat,1000,50,2,100,1152000
dalat,1300,80,2,300,1404000
dalat,1800,100,2,150,3385800
dalat,4700,91,2,400,3125500
