name,address,distance,distance_type,rating,capaciity,area,price
The BaNoi House,cantho,3300,km,79,1,90,742500
Can Tho Home & Apartment,cantho,300,m,89,1,72,877500
Nhu's House 2,cantho,3400,km,97,1,35,526500
Nhu's house,cantho,500,km,98,1,150,2070000
Emerald Boutique Stay 2,cantho,700,km,82,1,30,500000
Cozrum Homes - Gloaming Homestay,cantho,6100,km,100,1,20,675675
Cato Homestay,cantho,8700,km,86,1,23,700000
Green Village Mekong,cantho,7100,km,94,1,55,921000
Magnolia's Can Tho,cantho,350,m,83,1,18,730000
Can Tho Home & Apartment,cantho,300,m,89,2,72,936000
Nhu's House 2,cantho,3400,km,97,2,35,585000
Cozrum Homes - Gloaming Homestay,cantho,6100,km,100,2,20,675675
CASA ECO Mekong Homestay,cantho,9000,km,76,2,25,1085000
Cato Homestay,cantho,8700,km,86,2,23,700000
Green Village Mekong,cantho,7100,km,94,2,55,1161000
Magnolia's Can Tho,cantho,350,m,83,2,18,730000
V??n Treo Villa,dalat,1800,km,100,1,150,3385800
M.A.P HOME,dalat,3000,km,55,1,56,2000000
?? L?t Villa 84 H? Xu?n H??ng,dalat,4700,km,91,1,400,3125500
Villa Trung Ngh?a 31,dalat,2500,km,10,1,500,4495500
Bliss House ?? L?t,dalat,3200,km,100,1,250,5100000
Nh? Rum R?n,dalat,1400,km,94,1,140,1296000
T?n Anh House,dalat,1300,km,80,1,300,1404000
Kh?ch s?n Ch?u Giang 2,dalat,300,m,100,1,100,4000000
NH? C?A G?U,dalat,1700,km,100,1,120,1008000
Golden Hills Villa ?? L?t,dalat,1400,km,60,1,280,1960000
T? Anh,dalat,1500,km,90,1,225,4500000
Nh? c?a Sun ?? L?t,dalat,1800,km,100,1,120,1800000
Aloha Homestay,dalat,1300,km,95,1,87,2700000
Passion Homestay,dalat,1900,km,76,1,40,439200
Jade's House,dalat,1500,km,93,1,250,3000000
V??n Lan Hotel Nguy?n C?n 130m2,dalat,2000,km,90,1,130,579600
GOm Homestay- Tranquility House,dalat,1800,km,97,1,100,1154250
Hoa S?n ?i?n Vi?n Homestay,dalat,10900,km,80,1,20,1610000
V??n Lan Homestay ?? L?t,dalat,2100,km,78,1,130,735300
MK Sweet House 1 - DaLat Center,dalat,300,m,86,1,101,2700000
Casa Villa - Dalat Valley View,dalat,1500,km,96,1,300,4275000
MK Sweet House 2 - DaLat Center,dalat,250,m,95,1,70,1800000
Homestay Odile,dalat,12200,km,10,1,300,4500000
Q HOME ?? L?t,dalat,1900,km,92,1,250,1100000
Homestay Bao Chau,dalat,1500,km,45,1,300,1494000
Anh ??o Villa ?? L?t,dalat,1100,km,80,1,160,1462500
Mingo homestay,dalat,2100,km,100,1,200,1350000
Villa SEVENBAY,dalat,2000,km,95,1,35,500000
Gifhouse,dalat,2200,km,100,1,100,1656000
Joy Villa,dalat,1700,km,82,1,18,1300000
Nh? An Cozy,dalat,1600,km,90,1,100,1674340
Alee DaLat Villa,dalat,1400,km,88,1,400,2400000
Chivo Homestay,dalat,1700,km,89,1,200,1008000
La Soul Homestay,dalat,1600,km,100,1,40,552500
Aura Apartment Da Lat,dalat,2300,km,77,1,99,1599000
Dalat 1A.M,dalat,1100,km,87,1,100,1193400
KP Villa Dalat,dalat,3100,km,97,1,400,2550000
Homestay nguy?n c?n 4 Ph?ng ng? - La Soul Home,dalat,1600,km,100,1,60,1539000
Duy Th?o 2 hotel,dalat,250,m,82,1,30,600000
May Studio,dalat,350,m,84,1,25,1053000
WoodenHouse,dalat,8300,km,100,1,20,630000
C? S? L?u Tr? Du L?ch Thanh Ng?c,dalat,1700,km,100,1,120,1200000
Lana Hometel ?? L?t,dalat,1300,km,92,1,25,360000
Delen House,dalat,1300,km,100,1,40,1200000
H?ng Nga Villa,dalat,2800,km,10,1,150,1000000
ECOTIME Villa - Homestay Da Lat,dalat,2800,km,88,1,30,720000
Tom?s House,dalat,800,km,80,1,25,440000
Home 1/31 Nh? Chung ?? L?t,dalat,800,km,94,1,160,1750000
Kh?ch S?n ?? L?t G?n Ch? ??m AP - Villa ?? L?t,dalat,700,km,100,1,25,959000
V??n Lan Hotel- Nguy?n c?n 130m2,dalat,2100,km,90,1,130,1101600
Home 1995 ?? L?t,dalat,500,km,88,1,80,1980000
Karry's House,dalat,1400,km,94,1,150,2142000
V??n Lan Hostel,dalat,2000,km,86,1,130,850500
Panorama Apartment,dalat,2300,km,91,1,52,990000
ADALY Hotel & Apartment Dalat,dalat,2300,km,87,1,50,1222222
M?c Lan House,dalat,2700,km,78,1,70,598500
Doc Tinh House,dalat,1300,km,100,1,300,1201200
BLUE FINGERs KROOM DALAT,dalat,900,km,83,1,20,700000
Trung Ngh?a Villa 21,dalat,2800,km,80,1,400,4499999
Homestay Nguy?n C?n 131m2- V??n Lan Homestay,dalat,2100,km,90,1,132,1102500
Golden Hills-Lotus House,dalat,1500,km,89,1,240,2850000
Hanoi Amsterdam Condotel,dalat,1600,km,80,1,33,1403000
TTR Studio Apart Hotel,dalat,1600,km,85,1,30,933333
BREW APARTMENT 6,dalat,2200,km,100,1,25,1980000
Koala House,dalat,2800,km,91,1,30,450000
Terracotta Villa Tuyen Lam Lake Dalat,dalat,5300,km,82,1,35,1606500
Hostel V??n Lan- Nguy?n C?n 130m2,dalat,2100,km,86,1,134,697500
Moc Thach Blue House DaLat,dalat,900,km,98,1,120,3325000
