address,distance,distance_type,rating,capaciity,area,price
Can Tho,5.6,km,null,1 ,null,"380,000"
Can Tho,2.3,km,8.3,1 ,null,"446,500"
Can Tho,5.6,km,null,1 ,30,"480,000"
Can Tho,3.3,km,7.9,1 ,90,"742,500"
Can Tho,9.1,km,10,1 ,null,"550,000"
Can Tho,3.2,km,9.2,1 ,null,"397,456"
Can Tho,6.3,km,9.6,1 ,null,"1,500,000"
Can Tho,1.3,km,6.7,1 ,null,"1,235,000"
Can Tho,1.5,km,6.7,1 ,null,"220,000"
Can Tho,0.7,km,7.9,1 ,null,"280,000"
Can Tho,3.8,km,8.4,1 ,null,"500,000"
Can Tho,1.6,km,8.1,1 ,null,"500,000"
Can Tho,1.7,km,4.5,1 ,null,"307,800"
Can Tho,300,m,8.9,1 ,72,"877,500"
Can Tho,2.1,km,6.2,1 ,null,"330,000"
Can Tho,8.7,km,9.1,1 ,null,"180,000"
Can Tho,0.6,km,8,1 ,null,"450,000"
Can Tho,3.4,km,9.7,1 ,35,"526,500"
Can Tho,1.2,km,8,1 ,null,"750,000"
Can Tho,1.4,km,9.5,1 ,null,"1,950,000"
Can Tho,0.7,km,7.1,1 ,null,"1,040,000"
Can Tho,1.5,km,6,1 ,null,"550,000"
Can Tho,6.7,km,7.5,1 ,null,"600,000"
Can Tho,3.4,km,8,1 ,null,"243,000"
Can Tho,4,km,9,1 ,null,"350,000"
Can Tho,0.7,km,7.9,1 ,null,"1,360,800"
Can Tho,1.7,km,8.7,1 ,null,"640,000"
Can Tho,400,m,9.1,1 ,null,"315,000"
Can Tho,3,km,8.3,1 ,null,"315,000"
Can Tho,2,km,6.8,1 ,null,"450,000"
Can Tho,200,m,7.7,1 ,null,"1,311,000"
Can Tho,0.5,km,9.8,1 ,150,"2,070,000"
Can Tho,300,m,8.7,1 ,null,"240,000"
Can Tho,1.3,km,8.5,1 ,null,"522,000"
Can Tho,1.3,km,9.6,1 ,null,"232,560"
Can Tho,5.6,km,9,1 ,null,"400,000"
Can Tho,400,m,7.7,1 ,null,"243,000"
Can Tho,1.3,km,9.1,1 ,null,"945,000"
Can Tho,1.3,km,8.6,1 ,null,"420,750"
Can Tho,500,m,7.7,1 ,null,"510,300"
Can Tho,0.6,km,6.2,1 ,null,"774,217"
Can Tho,3,km,7.2,1 ,null,"400,000"
Can Tho,400,m,7.9,1 ,null,"450,000"
Can Tho,2.8,km,9,1 ,null,"590,000"
Can Tho,2.4,km,8.3,1 ,null,"290,000"
Can Tho,3.7,km,9.3,1 ,null,"528,000"
Can Tho,0.7,km,8.2,1 ,30,"500,000"
Can Tho,1.5,km,8.1,1 ,null,"330,000"
Can Tho,6.1,km,10,1 ,20,"675,675"
Can Tho,300,m,8.2,1 ,null,"270,000"
Can Tho,11.2,km,9.5,1 ,null,"792,000"
Can Tho,0.9,km,7.7,1 ,null,"1,450,000"
Can Tho,350,m,10,1 ,null,"960,000"
Can Tho,2.7,km,8.7,1 ,null,"280,000"
Can Tho,1.4,km,9.3,1 ,null,"5,648,412"
Can Tho,1.6,km,9.5,1 ,null,"504,000"
Can Tho,1.4,km,7.2,1 ,null,"350,000"
Can Tho,9.7,km,7.6,1 ,null,"599,000"
Can Tho,2.7,km,8.7,1 ,null,"400,000"
Can Tho,1.8,km,8.3,1 ,null,"320,000"
Can Tho,1.3,km,8.2,1 ,null,"418,400"
Can Tho,13.2,km,8.8,1 ,null,"1,641,600"
Can Tho,200,m,7.9,1 ,null,"553,500"
Can Tho,1.7,km,8.3,1 ,null,"499,140"
Can Tho,1.4,km,5.9,1 ,null,"260,000"
Can Tho,0.6,km,6,1 ,null,"313,110"
Can Tho,6,km,7.2,1 ,null,"252,000"
Can Tho,1.5,km,8.7,1 ,null,"500,000"
Can Tho,200,m,7.7,1 ,null,"300,000"
Can Tho,1.7,km,8.3,1 ,null,"500,000"
Can Tho,1,km,6.4,1 ,null,"387,585"
Can Tho,1.8,km,9.7,1 ,null,"350,000"
Can Tho,500,m,6.6,1 ,null,"500,000"
Can Tho,10,km,9,1 ,null,"1,305,000"
Can Tho,1.3,km,8,1 ,null,"621,000"
Can Tho,2.2,km,7.6,1 ,null,"1,066,188"
Can Tho,0.5,km,7.2,1 ,null,"320,000"
Can Tho,5.4,km,8.1,1 ,null,"500,000"
Can Tho,2.6,km,6.2,1 ,null,"260,000"
Can Tho,400,m,6.9,1 ,null,"200,000"
Can Tho,450,m,7.6,1 ,null,"574,000"
Can Tho,1.6,km,9.1,1 ,null,"358,020"
Can Tho,0.6,km,9.2,1 ,null,"990,000"
Can Tho,50,m,7.8,1 ,null,"495,000"
Can Tho,3.2,km,9.2,1 ,null,"2,700,000"
Can Tho,1.3,km,8.3,1 ,null,"658,800"
Can Tho,3,km,7.8,1 ,null,"250,000"
Can Tho,1.3,km,8.3,1 ,null,"490,000"
Can Tho,3.4,km,8,1 ,null,"375,000"
Can Tho,450,m,5.9,1 ,null,"600,000"
Can Tho,1.4,km,7.3,1 ,null,"320,000"
Can Tho,2.8,km,null,1 ,null,"216,000"
Can Tho,1.3,km,8.6,1 ,null,"364,500"
Can Tho,1.3,km,8.9,1 ,null,"2,990,400"
Can Tho,11.6,km,8.5,1 ,null,"1,158,050"
Can Tho,10.1,km,9.9,1 ,null,"810,000"
Can Tho,1.2,km,9.6,1 ,null,"372,600"
Can Tho,3.7,km,8.5,1 ,null,"800,000"
Can Tho,400,m,8.2,1 ,null,"497,250"
Can Tho,1.3,km,8,1 ,null,"1,827,000"
Can Tho,400,m,9.3,1 ,null,"300,000"
Can Tho,300,m,8.4,1 ,null,"216,000"
Can Tho,9,km,9.4,1 ,null,"1,200,000"
Can Tho,500,m,6.7,1 ,null,"117,000"
Can Tho,2,km,8.8,1 ,null,"280,000"
Can Tho,1.2,km,7.8,1 ,null,"250,000"
Can Tho,1.5,km,9.5,1 ,null,"200,000"
Can Tho,300,m,8.5,1 ,null,"350,000"
Can Tho,0.9,km,8.6,1 ,null,"1,251,275"
Can Tho,8.7,km,8.6,1 ,null,"800,000"
Can Tho,8.7,km,8.6,1 ,23,"700,000"
Can Tho,0.6,km,8.2,1 ,null,"470,000"
Can Tho,1.2,km,8.7,1 ,null,"335,837"
Can Tho,2.8,km,8.8,1 ,null,"350,000"
Can Tho,3.7,km,8.9,1 ,null,"209,000"
Can Tho,3,km,8.5,1 ,null,"550,000"
Can Tho,0.6,km,8.6,1 ,null,"243,000"
Can Tho,0.6,km,7.9,1 ,null,"180,000"
Can Tho,1.4,km,null,1 ,null,"400,000"
Can Tho,1.4,km,9,1 ,null,"261,990"
Can Tho,7.1,km,9.4,1 ,55,"921,000"
Can Tho,5.5,km,null,1 ,null,"200,000"
Can Tho,1.9,km,6,1 ,null,"313,110"
Can Tho,0.9,km,9.6,1 ,null,"486,000"
Can Tho,0.8,km,8.4,1 ,null,"1,134,276"
Can Tho,0.6,km,5.5,1 ,null,"540,000"
Can Tho,1.3,km,9,1 ,null,"2,419,999"
Can Tho,350,m,8.3,1 ,18,"730,000"
Can Tho,450,m,8.2,1 ,null,"400,000"
Can Tho,2.5,km,5.5,1 ,null,"342,000"
Can Tho,450,m,8.2,1 ,null,"177,824"
Can Tho,11.9,km,null,1 ,null,"336,000"
Can Tho,0.5,km,9.5,1 ,null,"315,000"
Can Tho,6.9,km,8.2,1 ,null,"2,236,000"
Can Tho,400,m,8.3,1 ,null,"429,000"
Can Tho,0.7,km,7.7,1 ,null,"990,000"
Can Tho,1.4,km,8.2,1 ,null,"279,000"
Can Tho,11.8,km,9.1,1 ,null,"680,000"
Can Tho,0.6,km,9.5,1 ,null,"490,000"
Can Tho,9,km,null,1 ,null,"800,000"
Can Tho,20.7,km,9.7,1 ,null,"1,044,050"
Can Tho,5.6,km,null,2 ,null,"380,000"
Can Tho,1.2,km,7,2 ,null,"800,000"
Can Tho,5.6,km,null,2 ,30,"510,000"
Can Tho,1.4,km,7.8,2 ,null,"350,000"
Can Tho,9.1,km,10,2 ,null,"990,000"
Can Tho,200,m,8.1,2 ,null,"223,250"
Can Tho,3,km,7.2,2 ,null,"400,000"
Can Tho,0.7,km,7.9,2 ,null,"280,000"
Can Tho,1.9,km,7.6,2 ,null,"350,000"
Can Tho,300,m,8.2,2 ,null,"270,000"
Can Tho,2.1,km,6.2,2 ,null,"330,000"
Can Tho,1.4,km,9.5,2 ,null,"1,950,000"
Can Tho,3.8,km,8.4,2 ,null,"500,000"
Can Tho,1.5,km,6.7,2 ,null,"220,000"
Can Tho,300,m,8.9,2 ,72,"936,000"
Can Tho,4,km,9,2 ,null,"350,000"
Can Tho,8.7,km,9.1,2 ,null,"180,000"
Can Tho,1.2,km,8,2 ,null,"750,000"
Can Tho,3.4,km,9.7,2 ,35,"585,000"
Can Tho,0.6,km,8,2 ,null,"450,000"
Can Tho,1.6,km,8.1,2 ,null,"500,000"
Can Tho,0.7,km,7.1,2 ,null,"1,131,000"
Can Tho,1.7,km,4.5,2 ,null,"332,500"
Can Tho,3.4,km,8,2 ,null,"243,000"
Can Tho,1.5,km,6,2 ,null,"550,000"
Can Tho,6.7,km,7.5,2 ,null,"600,000"
Can Tho,0.7,km,7.9,2 ,null,"1,512,000"
Can Tho,1.7,km,8.7,2 ,null,"640,000"
Can Tho,1.8,km,8.3,2 ,null,"320,000"
Can Tho,2.8,km,9,2 ,null,"590,000"
Can Tho,400,m,9.1,2 ,null,"315,000"
Can Tho,1.3,km,8.5,2 ,null,"522,000"
Can Tho,6.1,km,10,2 ,20,"675,675"
Can Tho,3,km,8.3,2 ,null,"315,000"
Can Tho,2,km,6.8,2 ,null,"450,000"
Can Tho,0.5,km,7.2,2 ,null,"493,000"
Can Tho,3.7,km,9.3,2 ,null,"528,000"
Can Tho,1,km,6.4,2 ,null,"391,500"
Can Tho,0.6,km,6,2 ,null,"313,110"
Can Tho,1.3,km,9.6,2 ,null,"273,600"
Can Tho,200,m,7.7,2 ,null,"1,311,000"
Can Tho,1.3,km,9.1,2 ,null,"945,000"
Can Tho,0.9,km,5.7,2 ,null,"675,675"
Can Tho,2.4,km,8.3,2 ,null,"290,000"
Can Tho,3.2,km,9.2,2 ,null,"397,456"
Can Tho,300,m,8.7,2 ,null,"240,000"
Can Tho,500,m,7.7,2 ,null,"567,000"
Can Tho,1.3,km,6.7,2 ,null,"1,235,000"
Can Tho,1.5,km,8.1,2 ,null,"330,000"
Can Tho,400,m,7.9,2 ,null,"450,000"
Can Tho,400,m,7.7,2 ,null,"270,000"
Can Tho,2.6,km,6.2,2 ,null,"260,000"
Can Tho,1.7,km,8.3,2 ,null,"499,140"
Can Tho,50,m,7.8,2 ,null,"550,000"
Can Tho,1.5,km,8.7,2 ,null,"500,000"
Can Tho,0.6,km,6.2,2 ,null,"774,217"
Can Tho,3.7,km,8.9,2 ,null,"475,000"
Can Tho,1.4,km,7.2,2 ,null,"350,000"
Can Tho,350,m,10,2 ,null,"1,020,000"
Can Tho,11.2,km,9.5,2 ,null,"1,080,000"
Can Tho,1.8,km,9.7,2 ,null,"350,000"
Can Tho,6,km,7.2,2 ,null,"252,000"
Can Tho,500,m,6.6,2 ,null,"500,000"
Can Tho,2.8,km,null,2 ,null,"240,000"
Can Tho,1.4,km,7.3,2 ,null,"370,000"
Can Tho,1.3,km,8.6,2 ,null,"364,500"
Can Tho,1.4,km,5.9,2 ,null,"260,000"
Can Tho,1.7,km,8.3,2 ,null,"500,000"
Can Tho,2.7,km,8.7,2 ,null,"400,000"
Can Tho,200,m,7.7,2 ,null,"320,000"
Can Tho,9,km,7.6,2 ,25,"1,085,000"
Can Tho,1.7,km,6,2 ,null,"330,000"
Can Tho,5.6,km,9,2 ,null,"400,000"
Can Tho,200,m,7.9,2 ,null,"592,200"
Can Tho,450,m,7.6,2 ,null,"574,000"
Can Tho,0.6,km,8.6,2 ,null,"1,598,454"
Can Tho,1.2,km,7.8,2 ,null,"350,000"
Can Tho,0.6,km,7.9,2 ,null,"180,000"
Can Tho,2.2,km,7.6,2 ,null,"1,066,188"
Can Tho,1.3,km,8.3,2 ,null,"490,000"
Can Tho,3.2,km,8.3,2 ,null,"1,758,240"
Can Tho,9.7,km,7.6,2 ,null,"599,000"
Can Tho,450,m,5.9,2 ,null,"600,000"
Can Tho,400,m,7.2,2 ,null,"300,000"
Can Tho,0.6,km,6.3,2 ,null,"360,000"
Can Tho,1.3,km,8.3,2 ,null,"658,800"
Can Tho,3.4,km,8,2 ,null,"375,000"
Can Tho,0.6,km,9.2,2 ,null,"990,000"
Can Tho,0.6,km,8.6,2 ,null,"243,000"
Can Tho,3,km,7.8,2 ,null,"250,000"
Can Tho,13.2,km,8.8,2 ,null,"1,641,600"
Can Tho,500,m,6.7,2 ,null,"216,000"
Can Tho,2.7,km,8.7,2 ,null,"280,000"
Can Tho,1.5,km,9.5,2 ,null,"400,000"
Can Tho,0.9,km,7.7,2 ,null,"1,450,000"
Can Tho,9,km,null,2 ,null,"800,000"
Can Tho,3.7,km,8.5,2 ,null,"900,000"
Can Tho,1.2,km,9.6,2 ,null,"414,000"
Can Tho,0.6,km,9.5,2 ,null,"490,000"
Can Tho,450,m,8.2,2 ,null,"469,590"
Can Tho,1.4,km,9.3,2 ,null,"5,648,412"
Can Tho,8.7,km,8.6,2 ,null,"800,000"
Can Tho,8.7,km,8.6,2 ,23,"700,000"
Can Tho,400,m,8.3,2 ,null,"822,000"
Can Tho,3.2,km,9.2,2 ,null,"2,700,000"
Can Tho,400,m,9.3,2 ,null,"300,000"
Can Tho,3,km,8.5,2 ,null,"550,000"
Can Tho,10,km,9,2 ,null,"1,400,000"
Can Tho,2,km,8.8,2 ,null,"280,000"
Can Tho,1.3,km,8,2 ,null,"621,000"
Can Tho,0.9,km,8.6,2 ,null,"1,251,275"
Can Tho,300,m,8.4,2 ,null,"270,000"
Can Tho,300,m,8.5,2 ,null,"350,000"
Can Tho,1.3,km,8.9,2 ,null,"2,990,400"
Can Tho,1.3,km,8.2,2 ,null,"390,000"
Can Tho,0.6,km,8.2,2 ,null,"470,000"
Can Tho,1.6,km,9.1,2 ,null,"358,020"
Can Tho,5.4,km,8.1,2 ,null,"500,000"
Can Tho,1.4,km,null,2 ,null,"400,000"
Can Tho,1.4,km,9,2 ,null,"261,990"
Can Tho,6.9,km,8.2,2 ,null,"2,236,000"
Can Tho,7.1,km,9.4,2 ,55,"1,161,000"
Can Tho,1.9,km,6,2 ,null,"313,110"
Can Tho,0.8,km,8.4,2 ,null,"1,134,276"
Can Tho,5.5,km,null,2 ,null,"200,000"
Can Tho,1.3,km,9,2 ,null,"2,419,999"
Can Tho,0.9,km,9.6,2 ,null,"540,000"
Can Tho,11.6,km,8.5,2 ,null,"1,158,050"
Can Tho,350,m,8.3,2 ,18,"730,000"
Can Tho,0.6,km,5.5,2 ,null,"600,000"
Can Tho,3.8,km,8.8,2 ,null,"1,101,600"
Can Tho,11.8,km,9.1,2 ,null,"680,000"
Can Tho,20.7,km,9.7,2 ,null,"1,099,000"
Can Tho,2.5,km,5.5,2 ,null,"380,000"
Can Tho,400,m,8.2,2 ,null,"475,997"
Can Tho,450,m,8.2,2 ,null,"400,000"
Can Tho,10.1,km,9.9,2 ,null,"810,000"
Can Tho,11.9,km,null,2 ,null,"336,000"
Can Tho,0.7,km,7.7,2 ,null,"990,000"
Can Tho,1.4,km,8.2,2 ,null,"279,000"
Can Tho,9,km,9.4,2 ,null,"1,200,000"
Da Lat,2.9,km,8.2,1 ,null,"1,884,960"
Da Lat,1.8,km,10,1 ,150,"3,385,800"
Da Lat,3.4,km,null,1 ,null,"2,100,000"
Da Lat,1.9,km,null,1 ,null,"1,425,000"
Da Lat,0.8,km,null,1 ,125,"2,500,000"
Da Lat,3,km,5.5,1 ,56,"2,000,000"
Da Lat,1.1,km,null,1 ,270,"5,000,000"
Da Lat,4.7,km,9.1,1 ,400,"3,125,500"
"Xuan Huong Lake, Da Lat",0.5,km,null,1 ,40,"2,100,000"
Da Lat,1.7,km,null,1 ,null,"1,680,000"
"Xuan Huong Lake, Da Lat",2.5,km,1,1 ,500,"4,495,500"
Da Lat,3.2,km,10,1 ,250,"5,100,000"
Da Lat,1.4,km,9.4,1 ,140,"1,296,000"
"Xuan Huong Lake, Da Lat",1.3,km,8,1 ,300,"1,404,000"
Da Lat,0.9,km,null,1 ,null,"20,000,000"
Da Lat,1.3,km,null,1 ,null,"1,440,000"
"Xuan Huong Lake, Da Lat",300,m,10,1 ,100,"4,000,000"
Da Lat,3.3,km,9.1,1 ,null,"553,824"
Da Lat,2,km,7.3,1 ,null,"853,943"
Da Lat,3.4,km,null,1 ,40,"1,530,000"
Da Lat,4,km,null,1 ,30,"3,996,000"
Da Lat,1.7,km,10,1 ,120,"1,008,000"
Da Lat,4.3,km,9,1 ,null,"763,857"
Da Lat,1.2,km,null,1 ,null,"1,333,800"
Da Lat,1.4,km,6,1 ,280,"1,960,000"
Da Lat,12.6,km,null,1 ,120,"2,800,000"
Da Lat,1.9,km,1,1 ,null,"792,000"
Da Lat,1.5,km,9,1 ,225,"4,500,000"
Da Lat,1.8,km,10,1 ,120,"1,800,000"
Da Lat,1.3,km,9.5,1 ,87,"2,700,000"
Da Lat,1.2,km,null,1 ,null,"1,296,000"
Da Lat,1.9,km,7.6,1 ,40,"439,200"
Da Lat,1.3,km,null,1 ,null,"3,500,000"
Da Lat,2.5,km,null,1 ,150,"1,600,000"
